engine_load_pct,rpm,oil_pressure_psi,coolant_temp_c,fuel_pressure_kpa,brake_line_pressure_bar,aps_pressure_bar,mileage_km,aps_failure
72.03,1680,25.67,88.3,317.6,7.22,11.49,299422,0
26.39,1958,34.19,104.0,324.4,10.08,15.62,289324,0
10.23,1562,41.72,100.5,347.4,6.74,9.95,575678,0
34.08,2211,37.15,87.9,311.0,8.71,9.63,287899,0
72.92,1863,60.24,104.1,375.8,6.37,9.35,63956,0
47.7,1823,40.77,83.8,299.4,8.6,15.3,162737,0
38.72,1091,37.88,97.0,343.7,10.88,11.3,84945,0
29.1,2022,44.11,83.9,311.6,8.0,12.73,357751,0
38.17,1401,55.34,78.7,341.6,10.5,9.91,532632,0
43.34,1833,40.71,92.9,304.5,10.53,12.76,771153,0
21.89,2177,42.93,73.1,382.9,8.74,9.13,745532,0
70.96,1903,41.72,87.5,343.7,5.01,12.92,153486,0
55.88,2132,46.82,104.6,422.0,12.93,16.19,322381,0
87.17,2007,41.53,82.1,336.4,10.95,12.58,295311,0
10.03,1534,40.57,83.0,289.3,10.11,9.67,335787,0
80.12,1491,45.07,69.9,388.9,6.46,15.18,276242,0
81.31,1923,49.27,104.9,361.3,7.09,13.5,374604,0
15.77,1487,50.56,92.9,482.9,8.84,13.77,77508,0
48.7,848,45.26,90.3,319.6,8.85,11.03,333428,0
41.19,1764,64.21,93.3,342.3,9.32,12.63,126202,0
85.75,2499,50.25,91.3,406.6,9.75,9.93,174880,0
53.57,1926,46.19,83.0,347.7,12.36,10.59,315852,0
33.29,1401,41.37,92.0,440.7,9.41,10.08,693973,0
20.52,2258,37.61,100.5,415.4,7.99,11.0,760101,0
65.45,1767,62.75,104.6,411.7,8.2,13.28,533627,0
41.66,2705,58.66,72.4,319.1,7.56,12.42,525138,0
56.21,1604,25.16,94.8,349.2,9.15,11.36,453339,0
42.63,2298,43.08,106.8,379.7,10.53,9.78,782803,0
98.26,1566,49.69,86.4,392.6,9.12,14.24,541577,0
46.51,1911,55.36,92.7,373.5,12.73,13.96,145504,0
82.31,1985,43.34,91.1,286.5,8.71,14.42,103553,0
70.91,2033,46.21,79.2,286.4,7.31,11.25,417886,0
34.13,1420,50.54,88.5,459.4,9.51,12.96,685666,0
55.08,2023,46.63,101.1,399.5,8.16,10.72,431504,0
46.44,2095,50.33,99.9,322.9,9.3,9.73,69916,0
75.54,2129,37.61,76.8,499.6,6.52,12.73,417444,0
42.69,1754,34.41,95.6,295.5,6.83,11.39,485990,0
89.0,1750,52.93,81.6,331.2,9.8,13.58,513293,1
51.46,1509,44.13,97.9,419.5,11.58,13.86,346368,0
94.22,1734,37.4,92.7,308.8,8.79,13.95,666928,0
86.52,1860,55.12,88.8,387.7,7.14,14.01,264213,0
38.34,2126,38.09,94.6,359.2,8.98,12.33,148811,0
53.69,1705,48.52,99.9,257.2,8.73,14.43,576368,0
46.41,2053,64.56,67.9,390.7,9.46,7.33,61466,0
98.79,2195,54.95,91.2,271.5,9.16,12.97,169064,0
52.08,1759,36.52,99.1,273.0,7.01,11.79,700742,0
40.42,1545,39.52,80.5,345.6,11.12,12.06,60702,0
50.36,1551,40.08,97.3,341.6,8.56,11.81,585807,0
25.6,1555,52.38,96.5,301.0,9.21,15.84,712841,0
61.58,1607,50.28,84.2,300.9,7.84,13.82,768085,0
74.62,1358,55.91,93.0,308.4,7.78,9.97,764878,0
90.33,1043,49.11,91.0,383.8,7.83,9.59,517341,0
81.0,1709,39.23,78.2,334.7,9.86,11.97,754275,0
53.61,1380,33.65,105.9,327.4,4.84,14.48,778454,0
38.09,2081,35.89,83.6,384.0,7.35,10.96,492816,0
72.58,1741,41.83,102.8,327.4,8.1,12.78,706335,0
62.16,1366,41.14,86.7,349.2,9.39,12.97,632882,0
45.06,1997,51.5,102.7,360.5,9.42,10.34,473919,0
51.37,2089,38.39,78.2,333.9,9.44,9.5,565065,0
65.38,2078,46.97,101.1,370.7,7.22,10.24,710529,0
21.6,1945,47.79,81.0,368.9,7.09,12.79,379513,0
63.05,829,51.91,112.2,375.2,8.53,8.5,53358,0
59.69,1709,30.86,87.3,253.0,9.4,11.51,166040,0
53.84,2059,46.46,76.3,311.3,8.75,12.1,779308,0
59.45,1278,57.21,98.5,433.8,10.04,12.35,610471,0
98.11,1376,38.47,90.0,390.8,12.55,12.99,184335,0
25.4,2641,35.98,82.8,315.9,4.93,12.29,614847,0
57.48,952,42.84,93.6,338.6,8.52,14.17,609831,0
73.57,1864,35.63,103.5,342.6,9.93,11.75,379613,0
58.47,2135,30.0,80.0,362.9,11.68,12.33,308157,0
46.5,1904,49.13,101.8,261.8,6.02,12.17,696852,0
78.32,2441,46.96,81.9,369.0,9.97,12.5,87920,0
74.13,1560,49.93,80.4,350.3,9.11,12.27,505153,0
28.24,1791,40.46,99.0,371.0,9.04,14.49,308518,0
98.44,1848,54.77,96.5,343.3,9.16,13.3,469933,0
80.81,1043,43.98,114.9,397.5,6.06,11.94,570696,0
10.53,1482,43.37,114.1,380.0,7.94,15.17,511316,0
60.31,1773,35.27,86.4,365.1,8.33,11.99,367183,0
78.62,1407,45.63,77.6,390.2,7.11,8.9,455082,0
31.95,1684,44.96,95.7,515.8,9.75,8.17,98843,0
77.76,2487,51.25,58.2,323.6,10.95,10.18,661974,0
12.57,1770,64.76,94.2,329.8,7.72,13.87,302973,0
17.11,2025,69.75,77.9,399.7,6.51,10.09,593634,0
79.17,1998,36.45,102.4,393.9,8.3,11.98,339066,0
98.36,2000,49.54,94.9,312.0,8.48,12.95,278995,0
55.84,1644,69.14,127.4,352.5,8.83,12.03,443571,0
36.28,2244,55.32,63.2,336.8,9.69,11.65,261272,0
37.2,1664,46.43,99.3,272.7,9.3,14.22,461387,0
28.77,1965,36.08,76.3,355.6,7.1,8.66,693248,1
14.76,1512,30.08,81.3,294.4,6.57,9.98,723534,0
97.28,1342,35.61,101.6,362.1,6.65,12.09,746217,1
16.61,1827,41.16,115.9,307.3,7.65,13.04,283488,0
55.99,1333,46.2,95.5,352.9,10.71,12.99,725539,0
46.67,1720,33.83,87.5,365.9,7.65,13.61,508410,0
61.72,1381,52.3,87.1,267.8,7.23,13.47,481834,0
67.51,1943,42.14,79.4,325.7,9.98,12.01,342694,0
22.85,2189,40.87,98.7,412.3,11.02,13.5,294146,0
53.79,1377,34.89,89.3,280.3,7.87,11.74,312691,0
21.69,2032,52.95,80.6,369.4,8.67,9.35,745693,0
35.34,1955,46.91,99.8,357.3,8.98,8.64,479181,0
25.87,1738,28.88,107.3,425.9,8.58,14.49,484011,0
86.52,1244,50.33,79.8,451.9,8.81,12.97,347093,0
24.7,1083,41.06,106.1,376.5,7.89,12.78,94796,0
82.75,1734,43.84,85.0,405.1,8.58,12.59,171601,0
65.58,2345,54.09,78.5,316.3,9.5,11.88,521420,0
46.22,1821,33.69,91.3,358.0,8.56,12.84,595835,0
70.83,1523,43.2,95.7,346.8,8.27,8.58,581802,1
12.01,1732,37.42,85.0,362.6,8.49,13.81,280331,0
42.38,2064,40.57,76.5,342.2,9.51,8.95,426901,0
41.35,1877,54.33,97.9,362.2,7.92,14.89,64125,0
33.47,1236,34.71,98.5,346.8,7.07,8.64,494938,0
26.84,1359,50.94,93.2,414.1,7.21,10.1,76532,0
71.28,2255,41.88,100.7,385.8,8.64,7.76,260619,1
89.08,2020,38.85,113.7,315.8,9.85,11.62,107445,0
82.79,2370,51.57,102.5,310.4,10.69,13.28,609871,0
26.21,2567,56.75,76.6,384.2,6.56,6.16,691542,1
57.12,1583,52.49,74.6,335.6,8.44,12.17,417583,0
67.74,1589,52.31,97.6,283.8,9.35,12.86,765994,0
92.57,1911,55.23,106.7,356.4,11.48,14.9,764703,0
66.42,2122,47.66,76.6,372.7,8.06,11.39,577861,0
93.95,2254,42.54,81.3,331.5,6.25,13.54,785344,0
24.91,1947,31.24,78.4,335.6,8.03,7.86,71457,0
59.95,1264,39.61,86.6,373.5,7.01,14.11,494245,0
53.4,1435,41.71,88.1,324.5,7.49,8.02,498929,0
46.77,2121,36.51,94.4,381.9,8.66,12.37,712810,0
76.84,1761,59.87,85.3,352.2,9.37,11.67,594556,0
41.63,967,42.22,83.2,430.0,7.67,16.2,470073,0
58.56,2451,48.69,89.6,438.6,11.66,13.03,166589,0
55.28,1556,62.44,72.2,409.5,8.77,13.55,254617,0
98.82,2058,43.27,73.5,284.2,9.73,10.83,473109,0
21.36,2595,47.55,71.7,400.0,9.6,11.55,331762,0
74.75,2581,49.61,83.5,366.6,12.18,14.51,229962,0
37.41,1844,35.06,97.1,394.8,9.62,11.77,684410,0
75.24,1890,41.81,87.8,389.0,8.23,11.71,286911,0
45.11,1426,72.42,86.9,371.7,7.16,10.01,670245,0
83.47,2373,53.04,94.6,378.5,8.52,16.86,662407,1
50.35,1795,37.04,82.2,263.8,9.43,9.28,57583,0
37.76,2248,58.47,115.6,357.1,6.61,10.2,235393,0
47.99,2326,55.5,110.3,404.6,10.91,6.55,263256,0
62.65,1309,60.46,102.2,357.4,7.86,9.27,613702,0
64.31,1652,57.23,80.1,316.7,7.79,12.64,148170,0
23.56,2267,47.74,78.7,388.5,7.85,10.71,559900,0
41.22,1300,50.96,71.1,400.9,11.25,13.54,735465,0
24.75,2189,40.41,87.1,290.3,7.11,9.78,557805,0
76.28,1189,51.06,71.7,282.7,7.3,8.81,664192,1
27.8,1902,48.86,98.7,363.6,7.72,13.67,772615,0
85.22,2241,43.61,72.2,362.7,6.88,9.99,90379,0
48.44,1431,39.45,75.2,427.4,9.7,16.64,645036,0
64.08,938,54.53,95.0,296.5,7.29,11.3,162994,0
44.59,1888,59.29,101.6,298.4,8.06,10.84,506463,0
63.44,1765,42.77,71.7,414.4,7.81,14.6,326231,0
92.6,1488,60.29,74.8,311.3,8.44,12.7,53918,0
22.5,2045,41.44,99.1,391.8,9.46,15.38,109950,0
79.45,1915,35.61,104.7,342.2,9.18,13.83,688169,0
69.87,1440,51.4,96.7,353.0,10.31,6.37,666517,1
46.52,1776,40.83,83.8,399.9,7.86,14.09,281195,0
97.4,2461,35.92,66.8,312.5,8.58,12.92,109339,0
81.31,2219,57.11,86.2,253.2,7.25,14.23,94026,0
23.84,2454,47.19,109.5,309.7,5.47,11.88,265917,0
51.27,1325,45.75,86.2,407.2,10.59,8.48,559111,1
74.07,1715,35.99,102.8,324.8,7.81,10.98,738204,0
93.07,1634,52.58,86.5,356.6,6.59,11.39,535963,0
85.87,2085,64.01,115.1,360.2,9.45,15.67,793588,0
96.09,2010,43.46,78.5,277.9,7.86,10.49,383126,0
35.88,1642,37.34,86.7,308.9,9.99,12.96,647504,0
85.69,2279,29.36,84.4,315.5,7.88,10.31,700995,1
34.53,1675,35.94,60.3,442.7,8.66,13.66,439306,0
38.19,2712,36.1,85.5,381.0,10.18,9.53,210185,0
70.36,1661,44.61,93.1,375.5,5.44,12.68,113773,0
29.38,1678,45.85,89.1,278.3,8.83,12.2,769662,0
44.59,1801,40.97,99.3,333.7,10.69,12.02,549338,0
99.73,2546,48.01,82.5,267.1,9.11,11.83,347403,0
86.66,1780,40.81,97.0,436.4,9.1,12.62,97527,0
71.98,1506,55.95,105.4,376.4,11.39,11.69,369998,0
23.91,1352,38.06,72.2,349.0,7.61,10.0,278149,0
79.8,1799,34.17,75.7,226.7,7.69,13.33,116025,0
54.04,2335,44.64,114.2,322.8,8.51,12.01,295225,0
66.47,1748,41.77,96.5,414.6,7.22,11.04,183656,0
62.31,1836,41.77,62.8,371.3,9.69,10.85,697234,0
39.18,1924,38.22,77.4,352.1,10.12,12.14,511413,0
29.6,1981,56.27,82.7,317.0,7.51,11.81,468925,0
21.13,1735,43.44,107.6,368.6,8.63,10.58,758002,0
89.71,1691,39.64,112.6,299.0,6.7,12.06,245216,0
29.39,1461,50.94,86.5,430.7,9.51,8.51,261562,0
44.52,1450,50.99,90.2,369.3,8.39,14.75,301217,0
26.8,1606,56.05,82.3,366.8,8.66,11.02,732618,0
84.57,1675,40.68,100.1,409.9,9.76,13.71,740268,0
54.93,1322,33.12,69.5,334.1,8.79,14.07,203045,0
35.5,2233,43.62,99.4,375.0,10.64,14.8,401502,0
27.02,1827,35.81,67.0,355.0,9.09,12.91,275008,0
68.23,1768,59.06,97.5,292.3,9.96,10.16,753310,0
81.12,1600,43.01,101.0,389.2,7.63,14.18,781384,0
85.79,1855,38.76,110.1,365.5,11.96,10.53,123207,0
90.02,1907,47.22,63.9,348.7,8.72,12.19,533043,0
16.98,1223,53.97,101.3,328.5,8.57,10.65,750232,0
63.17,2072,37.54,92.8,325.6,10.32,14.11,146285,0
21.94,1777,54.57,93.8,385.5,6.46,8.8,352774,0
13.36,1438,45.03,86.3,380.7,10.79,11.16,505744,0
53.57,2187,49.74,93.2,343.7,9.24,11.95,182943,0
89.29,2044,42.85,97.3,263.1,9.29,10.58,635424,0
83.24,2329,57.26,89.5,344.4,10.35,13.78,744186,0
97.53,2232,54.98,80.6,379.3,9.7,8.28,531270,1
95.95,1206,41.1,75.5,319.8,9.33,10.8,632903,0
92.72,1094,41.44,100.4,415.1,7.44,12.84,685640,0
88.01,1667,27.52,71.0,373.6,10.49,10.21,742452,0
85.4,1943,41.01,77.6,305.8,7.45,8.98,278278,1
21.67,2545,54.29,87.4,321.4,7.62,9.14,59267,0
23.19,1167,35.05,105.9,425.1,6.64,11.34,501234,0
92.56,1815,29.51,92.2,344.6,6.99,14.36,264282,0
59.07,2158,58.6,97.7,434.6,7.72,10.44,688060,0
43.84,1789,33.85,95.8,370.8,12.0,12.16,164371,0
53.52,2312,44.99,90.1,448.0,6.06,12.15,546333,0
47.25,1244,38.29,66.8,333.2,7.1,12.16,352936,0
12.19,1791,45.34,60.5,322.5,8.59,13.04,369639,0
15.99,1767,34.38,74.8,331.6,7.76,11.49,156886,0
60.55,1960,36.41,88.1,292.1,5.77,8.19,423977,0
64.39,1366,24.43,79.1,351.4,8.46,15.16,258035,0
30.15,1579,41.06,86.9,385.8,6.42,13.78,737649,0
37.32,1929,34.49,92.4,366.2,9.38,15.39,790018,0
62.76,758,39.45,93.4,362.7,7.56,11.04,457436,0
90.38,2011,47.47,108.1,398.6,7.65,12.23,703196,0
99.28,1845,59.84,103.9,324.8,8.03,13.85,433017,0
20.2,1313,46.78,75.6,351.2,8.91,15.08,795977,0
41.23,1850,50.82,84.9,355.7,11.8,9.41,748967,0
20.61,1467,34.03,72.2,332.4,9.52,11.85,428872,0
79.91,1739,43.09,101.5,298.7,10.88,13.67,654671,0
65.89,1418,42.07,72.5,343.4,7.27,10.15,797373,0
40.46,1787,33.66,84.5,375.1,9.98,10.74,624120,0
14.04,1434,43.72,87.8,401.3,8.38,12.61,154339,0
33.87,2430,35.03,76.0,260.7,10.46,13.38,489108,0
10.68,1622,58.54,95.9,303.8,9.6,12.05,258252,0
90.03,1860,38.46,110.8,360.2,9.37,10.94,565496,0
25.14,2202,43.48,82.2,314.9,7.91,12.65,329510,0
83.08,1648,51.49,80.1,407.7,9.47,11.85,403277,0
36.9,2681,48.58,104.8,277.0,9.93,12.19,236166,0
39.26,1244,43.92,102.8,369.9,8.03,11.35,627000,0
37.72,2436,36.64,81.0,360.1,7.14,12.86,321130,0
52.64,1515,37.07,86.4,301.1,8.88,9.34,588411,0
47.6,1163,55.39,97.2,252.2,7.84,8.44,167832,0
72.63,1590,41.8,91.5,332.0,9.74,11.02,197423,0
12.61,1518,42.27,67.1,415.2,6.29,10.49,483349,0
48.06,1351,40.87,83.5,329.8,8.04,13.65,175832,0
11.27,1904,41.46,104.9,419.3,9.7,14.74,95574,0
97.63,2610,45.97,99.2,393.4,7.71,12.72,172309,0
90.44,1307,47.09,79.7,285.5,6.21,14.42,322643,0
62.94,1439,47.13,84.2,402.7,8.3,12.82,242292,0
56.72,1993,40.55,90.5,278.5,8.87,13.1,655618,0
48.42,1337,43.83,109.8,264.7,9.46,8.02,589785,1
88.22,1675,49.25,97.3,333.3,6.39,12.38,291627,0
51.02,1833,55.68,79.2,376.2,9.67,10.08,665923,0
32.17,2397,51.43,86.6,392.7,9.85,12.84,359339,0
60.86,2559,47.45,95.1,374.8,10.7,11.47,198782,0
70.02,2229,49.72,126.6,424.2,8.36,15.01,315789,0
39.6,1375,58.65,87.8,395.3,7.05,9.66,791667,0
42.94,2143,45.16,86.0,392.0,9.14,11.45,398192,0
90.33,1662,38.9,116.4,298.3,11.63,11.81,91583,0
87.2,812,34.77,73.7,352.0,7.59,14.8,548162,0
96.95,1517,48.54,67.8,399.2,7.43,13.03,574117,1
29.91,1792,40.97,85.7,296.8,6.82,12.66,575797,0
81.85,1448,45.38,94.4,302.1,6.45,13.62,421243,0
45.49,2173,54.58,87.7,293.1,8.35,15.43,477435,0
88.28,1182,44.9,103.8,284.5,7.77,16.6,652491,0
98.74,1902,43.71,64.4,308.3,9.32,14.47,608574,0
34.24,1678,38.25,81.0,243.5,10.29,10.31,614053,0
62.9,2773,34.8,74.7,261.6,7.51,13.47,318302,0
17.5,1542,54.58,88.4,432.0,9.24,10.01,252374,0
92.35,2082,34.4,84.3,323.9,6.44,13.97,161175,0
36.58,1766,40.23,85.9,353.6,8.3,10.87,644942,0
45.46,1747,31.59,87.6,316.2,7.88,11.95,594500,0
13.31,1455,47.96,98.5,431.4,7.93,11.7,678987,0
57.64,2649,47.77,87.2,329.2,7.85,10.08,433725,0
62.02,1857,52.16,105.5,376.4,10.02,10.71,341754,0
77.19,1503,59.05,103.6,309.4,7.87,10.53,185393,0
17.36,2001,34.64,111.7,339.3,9.15,13.03,467457,0
69.91,1780,36.25,102.7,289.0,5.49,15.69,695164,0
43.64,2110,44.04,79.2,304.0,10.0,8.96,522324,1
88.42,1698,52.43,88.2,376.8,9.39,9.43,323770,0
49.7,2061,43.97,99.5,332.4,8.02,10.9,715056,0
74.32,1398,36.05,91.4,426.4,7.59,12.35,194096,0
77.28,1914,40.12,79.0,380.0,7.5,9.1,606873,0
77.36,2214,42.14,102.8,318.6,10.03,11.66,593379,0
74.15,1776,29.22,84.6,333.2,6.95,10.35,236261,0
58.28,1950,35.75,97.4,341.9,9.37,13.45,637626,0
70.3,1296,55.24,83.5,344.3,7.46,13.13,580370,0
39.44,1775,48.16,97.2,433.4,9.82,12.35,540505,0
58.92,2807,44.06,84.4,316.1,12.05,10.91,191790,0
29.4,1509,33.73,104.5,409.1,7.13,11.43,186052,0
42.24,2147,36.73,97.5,319.2,8.16,12.42,238493,0
97.26,1414,49.84,86.2,344.5,5.94,13.31,149552,0
77.97,1870,59.45,76.4,298.2,7.48,11.68,403398,0
25.81,2383,42.27,88.7,404.2,11.02,14.59,131283,0
16.74,1758,44.93,107.3,367.0,8.89,10.04,212042,0
90.46,1461,47.84,114.5,386.5,8.52,17.77,755950,0
70.24,2031,48.12,83.7,306.5,8.47,13.6,395160,0
12.53,1382,34.17,93.6,233.2,8.12,10.21,365371,0
84.62,1649,47.48,84.3,310.2,11.13,12.81,253220,0
19.71,1915,36.65,79.1,419.0,11.27,11.66,326513,0
86.31,2371,53.27,82.5,355.8,7.67,12.6,331720,0
30.76,1995,43.82,84.2,371.9,8.53,11.76,383998,0
65.1,1587,21.44,86.0,335.7,6.27,14.32,501541,0
12.92,1805,61.21,73.8,413.4,8.8,14.11,408459,0
34.61,2081,43.01,91.3,303.4,11.09,7.64,291573,0
67.49,2087,26.67,93.1,333.4,6.12,13.38,771481,0
79.96,1545,47.36,90.2,327.8,8.18,11.52,412209,0
22.46,1935,33.1,91.9,378.7,10.08,11.55,503447,0
54.86,1237,38.24,85.3,245.1,7.44,14.01,241663,0
12.94,1724,34.31,104.8,388.5,6.76,12.97,268864,0
10.36,1973,44.94,87.2,332.9,10.53,9.81,774310,0
95.74,1704,47.63,99.3,364.4,9.57,10.78,577251,0
66.16,1918,55.5,104.4,356.1,6.69,11.99,326363,0
38.73,2115,46.83,102.7,332.8,7.75,10.83,333713,0
78.08,1886,44.94,101.0,435.5,8.85,13.66,234636,0
21.15,1506,47.47,90.4,316.3,10.92,12.78,634740,0
38.91,1957,45.49,106.9,340.0,8.12,10.67,172500,0
39.13,1978,44.42,73.2,267.2,7.07,10.87,618991,0
95.47,1452,49.31,80.2,329.2,7.9,9.27,194779,0
14.42,1454,43.82,85.1,290.5,10.66,12.56,505400,0
51.22,1279,52.64,95.1,345.4,8.03,12.4,154240,0
76.29,2741,48.28,99.3,300.8,7.55,12.49,408470,0
74.67,842,54.06,96.6,339.4,7.06,10.82,496330,0
36.72,1061,36.78,73.2,399.5,7.03,10.91,684091,0
63.83,1321,45.81,86.8,371.0,9.28,14.25,235249,0
89.18,1294,46.32,84.7,368.8,7.96,11.51,210353,0
73.09,1708,44.87,100.1,377.4,7.83,10.44,604169,0
97.29,1766,43.27,82.8,419.0,8.24,11.38,173658,0
60.02,1542,57.92,84.7,329.3,10.27,13.63,442530,0
69.57,1244,41.41,105.5,286.5,7.61,10.92,743932,0
79.29,2113,45.43,94.7,293.9,8.65,13.2,792674,0
67.85,1547,42.69,71.1,286.4,9.03,13.59,527391,0
63.06,1617,50.77,93.1,363.9,11.03,13.59,406221,0
66.54,2378,44.94,79.5,321.3,8.42,11.23,371707,0
