flow_rate_lps,pressure_bar,ph_level,turbidity_ntu,chlorine_ppm,conductivity_us,water_temp_c,anomaly
42.86,4.5,7.01,4.15,1.41,408.0,16.1,0
45.74,4.24,6.97,3.83,0.85,431.0,15.5,0
21.94,1.41,6.96,0.95,1.97,437.6,20.6,1
42.27,3.19,6.93,0.1,1.64,430.5,15.6,0
45.62,4.08,7.65,1.52,1.58,465.9,21.5,0
53.9,4.72,7.07,2.49,1.65,314.8,19.0,0
38.58,3.92,7.2,3.73,1.47,500.8,19.2,0
50.39,4.5,7.61,1.69,1.17,449.0,15.0,0
46.07,4.57,6.92,0.38,1.31,439.4,19.0,0
42.89,4.84,7.06,0.31,1.88,455.6,20.0,0
44.3,4.52,6.82,1.41,1.65,488.4,18.0,0
3.17,7.41,7.53,0.9,1.22,554.1,13.4,1
44.25,4.62,7.36,0.69,1.21,428.5,17.8,0
34.96,4.16,7.09,0.68,1.51,430.2,13.9,0
44.93,5.12,7.47,2.11,1.25,500.4,16.7,0
44.56,4.9,7.15,1.05,1.16,365.7,22.3,0
52.04,3.56,7.08,0.18,2.12,393.4,17.0,0
43.29,4.59,7.25,0.64,1.03,507.8,14.5,0
41.31,4.83,7.74,0.61,0.88,408.1,18.1,0
41.72,4.19,7.3,0.54,1.63,428.2,20.6,0
5.11,6.33,7.44,0.22,1.4,466.8,15.7,1
51.21,3.93,6.42,17.99,0.5,416.6,17.7,1
45.66,4.4,7.45,1.23,0.78,454.9,25.1,0
48.08,4.56,7.04,0.86,1.1,412.4,11.5,0
50.92,5.45,7.49,3.54,1.13,458.9,8.0,0
41.91,3.87,7.28,0.78,1.23,584.0,22.2,0
43.47,4.57,8.97,27.04,0.23,482.8,21.0,1
46.63,4.73,7.56,1.46,1.84,402.8,20.5,0
45.91,4.17,6.89,0.1,1.82,509.2,14.5,0
40.22,4.22,6.97,2.08,1.18,514.1,25.6,0
43.96,4.26,7.14,4.28,1.19,550.8,16.2,0
42.24,4.8,7.34,0.82,1.26,439.9,15.3,0
46.47,4.93,7.18,1.39,1.64,372.4,24.0,0
35.14,3.88,6.61,0.21,1.97,441.5,17.1,0
50.38,3.88,7.22,0.65,0.79,448.6,13.5,0
39.91,3.83,7.39,0.14,1.65,442.2,16.4,0
42.0,4.45,7.02,1.17,1.14,433.2,16.0,0
42.77,10.08,7.33,0.69,1.4,449.4,19.3,1
43.97,4.63,6.44,1.79,1.64,377.7,13.6,0
42.98,3.9,6.99,0.13,1.29,418.5,18.0,0
45.84,3.8,7.07,4.3,1.23,406.6,15.3,0
43.22,3.85,6.81,1.14,1.65,422.9,22.4,0
55.35,3.6,6.69,0.52,1.51,425.6,23.9,0
43.85,4.6,7.23,4.87,1.2,448.8,20.3,0
46.41,5.54,7.28,0.28,1.64,379.2,13.4,0
35.13,3.98,7.81,8.6,1.94,479.5,10.6,0
44.75,4.37,7.45,0.85,1.67,426.6,17.5,0
40.86,4.38,7.03,2.77,1.48,515.5,12.8,0
54.89,4.86,6.98,0.42,1.33,404.8,12.2,0
45.95,5.09,7.79,14.92,0.19,530.8,15.4,1
49.15,4.54,7.39,4.25,1.36,403.3,14.4,0
51.42,4.51,7.16,1.83,1.36,470.2,12.8,0
55.19,4.81,7.18,2.61,1.86,486.3,14.2,0
35.23,4.57,6.95,0.33,1.47,423.8,21.0,0
47.03,4.44,6.85,1.03,1.61,413.1,23.2,0
47.24,4.49,7.45,0.46,1.71,414.7,9.6,0
50.53,4.5,6.82,0.16,1.41,485.1,19.3,0
42.76,4.67,6.92,1.86,1.92,491.7,18.1,0
43.28,4.58,7.62,1.76,1.46,438.3,20.1,0
45.31,5.06,6.91,0.42,1.64,484.3,19.7,0
48.35,4.71,7.26,5.83,1.79,442.8,19.1,0
48.75,5.12,6.95,2.48,1.14,508.8,13.1,0
35.87,3.81,7.15,3.74,1.53,386.2,11.1,0
42.49,3.89,7.6,28.84,0.3,482.0,16.4,1
45.47,4.26,7.42,1.96,1.1,431.2,18.6,0
43.03,9.94,7.09,1.92,1.42,372.4,18.7,1
51.61,4.19,6.85,0.48,1.33,548.2,21.1,0
47.86,3.7,7.29,0.32,1.61,414.1,7.9,0
42.49,5.37,7.15,0.96,1.44,419.4,25.7,0
42.87,4.47,7.22,2.81,1.88,374.2,17.1,0
48.92,4.35,7.83,0.82,1.39,357.1,11.7,0
4.91,7.2,7.13,1.69,1.54,455.8,22.8,1
45.22,3.7,7.85,0.4,1.75,439.0,21.0,0
40.73,5.18,7.69,3.16,1.92,446.5,19.5,0
48.82,4.73,7.03,1.61,2.01,414.0,19.6,0
35.26,4.39,7.18,4.62,0.93,430.5,18.5,0
41.16,5.6,7.02,1.96,0.92,484.6,16.6,0
50.38,4.31,7.12,0.84,1.28,479.5,17.8,0
41.18,4.95,7.09,0.39,0.98,460.1,18.3,0
49.22,4.52,6.79,1.02,1.48,506.7,18.2,0
51.88,4.52,7.36,1.54,1.44,486.1,7.4,0
54.23,4.37,7.32,0.2,1.78,466.7,17.9,0
47.96,4.36,7.18,3.72,1.21,350.8,10.5,0
52.01,4.35,6.87,0.1,1.22,528.8,13.6,0
50.25,4.93,7.6,1.36,1.54,474.4,15.1,0
38.71,3.82,6.78,0.17,1.3,334.1,15.1,0
50.95,4.34,7.36,0.7,1.51,399.2,23.9,0
43.7,5.13,7.14,20.93,0.14,411.8,20.7,1
42.27,4.93,6.77,0.74,1.67,418.0,14.8,0
37.02,4.39,7.37,0.78,1.21,444.8,20.4,0
39.73,5.54,6.97,1.62,1.54,461.2,13.9,0
45.72,4.23,6.97,0.15,1.81,374.2,19.2,0
53.48,4.63,7.33,0.88,1.34,437.0,21.4,0
52.58,4.09,7.15,0.46,1.04,515.5,15.7,0
46.98,4.53,7.22,2.76,1.91,419.8,14.7,0
42.53,3.79,7.05,1.36,1.28,441.4,22.6,0
54.05,5.52,7.35,1.67,1.09,462.8,15.9,0
44.01,4.61,8.98,16.85,0.33,537.7,16.7,1
39.87,3.86,7.69,2.2,1.31,459.1,17.5,0
53.2,4.68,7.3,1.21,1.85,487.9,13.9,0
41.34,4.36,6.51,0.76,1.24,440.7,16.1,0
47.42,4.68,7.77,1.45,1.26,400.4,15.4,0
41.4,3.52,6.98,2.66,1.66,469.3,15.7,0
44.76,4.34,7.29,2.98,1.2,440.1,18.3,0
48.36,4.41,7.53,2.2,1.01,389.4,15.8,0
40.05,5.8,7.78,0.57,1.7,442.8,18.1,0
45.57,3.93,7.67,2.24,1.21,357.0,23.5,0
51.04,4.51,7.43,0.66,1.32,519.4,20.1,0
57.45,4.18,7.46,0.36,1.4,460.5,19.3,0
13.06,1.85,7.25,1.98,1.74,445.1,12.7,1
52.63,3.33,7.49,1.65,1.93,430.6,19.1,0
43.53,4.44,6.98,2.64,2.29,386.7,17.3,0
43.15,4.84,7.6,3.57,1.21,437.2,21.5,0
54.36,4.62,7.14,1.17,1.22,409.5,22.8,0
52.7,4.67,7.09,4.79,2.08,384.5,10.4,0
48.22,4.74,7.44,2.89,1.34,454.5,17.2,0
38.94,3.85,7.72,1.12,1.53,403.1,14.1,0
19.66,1.79,7.06,0.46,1.69,378.4,21.5,1
45.98,4.39,6.86,5.38,1.4,361.5,17.6,0
43.09,4.38,7.5,1.55,1.12,462.0,23.8,0
48.16,6.29,7.25,2.12,1.29,408.4,22.6,0
44.18,4.02,7.91,25.73,0.21,394.4,18.0,1
45.16,3.8,7.0,0.12,1.23,469.8,15.4,0
43.99,5.47,6.58,1.06,2.2,498.8,16.1,0
43.96,4.76,7.35,0.1,1.89,447.4,17.0,0
46.48,4.42,6.7,1.01,1.24,460.2,24.1,0
44.85,4.5,6.81,23.15,0.22,438.6,16.1,1
34.58,3.59,6.83,0.94,1.36,402.2,20.7,0
50.01,4.47,7.39,0.43,1.35,432.6,18.7,0
36.1,3.88,7.5,2.45,1.31,498.7,15.0,0
41.86,4.56,6.07,24.23,0.15,460.2,16.9,1
44.57,4.33,7.01,4.29,1.4,387.9,21.5,0
40.2,4.59,7.06,7.79,1.35,443.7,25.9,0
44.44,4.49,7.59,1.19,1.4,488.6,13.1,0
49.67,4.86,7.26,1.96,1.37,470.1,20.6,0
50.54,4.88,7.27,0.9,1.6,458.3,20.5,0
37.23,5.28,7.52,0.9,1.43,469.0,20.6,0
45.88,3.96,7.17,0.89,1.55,389.5,18.5,0
47.54,4.86,6.86,0.58,1.76,403.6,13.7,0
34.96,4.46,7.37,0.42,1.44,455.9,24.1,0
43.42,4.01,7.8,0.28,2.11,409.8,18.5,0
45.96,4.46,6.49,0.4,1.96,463.1,23.2,0
41.14,3.71,7.01,3.49,1.55,369.5,11.5,0
45.37,4.3,7.55,0.64,1.81,435.4,16.0,0
46.17,4.85,6.66,3.06,1.42,455.6,22.3,0
22.92,2.8,7.18,0.72,1.59,458.7,17.3,1
43.23,5.22,7.85,2.95,1.56,437.2,18.8,0
37.9,4.71,6.99,1.8,2.26,385.7,15.6,0
13.74,1.8,7.44,4.25,1.61,540.3,12.6,1
43.66,4.36,8.49,26.91,0.15,463.1,25.6,1
43.49,4.99,7.09,2.49,1.78,495.2,18.0,0
51.6,4.85,6.64,0.24,0.95,400.0,16.1,0
42.06,5.47,7.38,0.25,1.25,347.2,19.8,0
7.15,6.78,7.26,0.1,1.72,481.8,12.5,1
42.49,4.14,7.4,3.17,1.72,457.6,17.4,0
45.25,4.29,7.08,1.4,1.42,539.7,15.4,0
37.47,5.02,7.15,0.39,1.83,408.8,19.8,0
48.05,4.48,6.98,0.51,0.94,494.3,16.7,0
46.05,4.6,7.0,1.31,1.7,460.8,20.5,0
37.27,4.54,7.05,2.24,1.24,428.3,20.3,0
41.85,3.7,7.12,1.12,0.95,389.5,16.8,0
7.57,9.28,7.45,0.67,0.98,451.5,23.5,1
40.74,4.69,7.34,0.25,1.61,463.7,21.1,0
46.49,3.94,7.48,1.35,1.44,480.0,7.9,0
40.82,5.1,6.93,0.57,1.72,431.8,13.9,0
46.27,5.31,7.75,1.11,1.51,329.5,14.3,0
47.4,4.16,7.42,1.29,2.17,464.8,22.3,0
51.36,4.76,7.52,0.34,1.45,434.7,15.9,0
42.55,4.55,6.86,0.99,1.2,468.0,13.7,0
47.62,3.66,7.61,0.26,1.96,456.0,17.3,0
52.04,4.65,7.6,0.86,1.33,510.5,21.3,0
41.49,4.95,7.48,0.1,1.53,494.7,16.6,0
48.01,4.05,6.86,2.95,1.17,473.0,14.4,0
44.18,3.66,7.62,2.6,1.72,432.6,15.1,0
7.22,6.42,7.1,0.2,1.41,397.2,12.2,1
4.71,6.59,7.37,0.24,1.59,510.7,21.5,1
40.95,4.48,7.48,0.61,1.37,427.6,16.0,0
48.42,5.18,5.5,13.26,0.31,420.3,24.0,1
44.86,4.31,7.13,0.72,1.49,487.2,13.1,0
51.47,4.39,7.12,1.22,1.83,405.9,14.5,0
37.55,5.27,7.71,0.82,1.39,494.5,16.6,0
47.13,4.67,6.96,1.83,1.07,416.5,23.8,0
39.15,3.77,7.24,0.1,1.35,396.3,14.2,0
47.34,4.26,7.35,1.24,1.52,478.7,26.9,0
51.0,4.88,6.99,0.46,1.23,423.5,21.3,0
40.8,4.59,6.75,1.6,1.67,450.1,22.6,0
48.1,4.0,7.0,3.04,1.54,420.9,16.5,0
37.93,4.46,7.47,0.89,1.67,476.5,21.8,0
38.22,4.42,7.55,0.2,1.43,443.2,20.7,0
43.91,4.02,7.47,2.14,1.36,460.3,16.4,0
39.24,4.54,7.45,2.04,1.78,431.7,19.7,0
49.6,5.03,6.87,1.8,1.29,421.9,17.5,0
43.72,5.78,6.59,4.46,1.5,403.6,18.8,0
43.15,4.38,7.18,3.08,1.26,393.3,17.9,0
42.8,4.86,7.32,1.57,1.06,434.9,12.6,0
50.67,5.25,7.17,2.8,1.73,425.5,26.3,0
45.93,4.05,6.53,1.13,1.62,425.5,20.1,0
43.97,4.91,7.06,0.38,1.21,492.8,21.4,0
8.16,7.59,6.88,0.1,1.71,414.1,12.0,1
52.84,5.15,7.04,0.25,1.13,446.0,14.0,0
42.21,5.3,6.97,0.14,0.94,459.5,15.9,0
40.75,5.56,7.45,1.38,1.38,360.3,13.3,0
35.24,3.98,7.09,0.1,1.78,429.9,17.5,0
34.4,3.72,7.52,0.25,1.41,385.0,17.8,0
45.7,4.29,7.32,0.57,1.91,389.5,12.9,0
52.08,4.82,7.47,1.79,1.37,428.0,13.3,0
50.65,5.46,7.63,3.3,1.42,456.1,17.5,0
52.66,3.91,7.49,2.8,1.62,398.6,15.5,0
44.47,3.76,7.42,0.4,1.68,461.4,13.8,0
40.79,4.94,6.81,0.43,1.21,514.5,17.7,0
45.12,3.99,7.36,1.19,1.5,427.7,16.5,0
44.48,4.45,6.59,0.8,1.34,419.3,18.4,0
54.77,3.29,7.2,1.22,2.41,500.3,16.9,0
43.12,4.62,7.83,2.2,1.48,486.3,15.2,0
46.99,5.19,7.04,6.77,1.12,479.1,14.5,0
46.07,3.95,5.97,15.16,0.37,400.2,19.3,1
45.82,4.94,7.06,2.92,1.56,462.5,10.6,0
42.47,4.75,7.27,7.67,0.3,477.7,21.3,0
45.02,4.43,7.07,5.44,1.19,420.5,14.5,0
50.48,4.25,7.65,0.38,1.98,429.9,20.6,0
42.5,4.46,7.04,0.77,1.38,423.2,13.5,0
45.1,4.92,7.39,0.73,1.7,457.7,17.0,0
46.32,3.7,7.05,0.39,1.14,436.6,13.4,0
44.73,4.78,7.22,0.44,1.51,414.0,20.9,0
5.51,7.88,7.16,0.34,1.22,486.6,18.0,1
39.21,4.11,7.23,0.39,1.46,474.3,16.2,0
47.37,4.27,7.47,0.23,1.66,414.3,16.0,0
38.59,3.93,7.39,2.75,1.77,489.4,16.4,0
48.4,2.89,7.8,0.26,1.61,375.1,11.7,0
33.77,4.98,7.23,1.31,1.48,421.8,18.1,0
43.39,5.82,6.98,1.14,1.84,422.3,23.2,0
43.11,4.26,7.12,1.47,2.23,449.1,13.5,0
49.83,5.22,7.56,0.1,1.27,386.2,18.2,0
45.15,5.51,7.28,1.88,1.5,330.5,17.9,0
39.02,4.94,6.9,3.25,1.67,472.7,17.7,0
43.52,4.21,7.75,1.08,1.1,481.7,17.9,0
66.01,4.01,6.88,0.68,1.44,435.9,24.0,0
37.88,5.03,6.85,1.69,1.68,460.3,22.5,0
49.84,5.53,7.18,1.68,1.73,490.0,16.3,0
46.54,4.86,7.26,0.1,1.37,462.4,11.3,0
44.39,4.03,7.68,2.05,1.41,474.5,11.2,0
41.78,4.43,7.3,1.47,1.03,405.0,21.1,0
44.47,3.4,7.41,0.35,1.29,397.9,13.6,0
39.72,4.8,6.69,1.31,1.4,460.6,13.4,0
38.89,4.46,7.13,0.38,0.89,525.2,16.7,0
42.94,3.46,7.66,0.16,2.28,393.4,22.3,0
45.55,4.31,7.78,3.6,1.47,358.1,22.1,0
42.28,4.69,6.73,0.35,1.36,455.6,14.3,0
44.17,4.37,7.27,1.22,1.8,479.5,20.2,0
46.49,4.94,7.62,1.91,2.0,361.1,14.7,0
43.8,11.19,7.13,4.4,1.76,381.9,22.0,1
48.45,4.45,7.38,0.95,1.43,520.7,12.7,0
52.75,3.96,7.03,0.41,1.54,388.7,21.1,0
52.62,4.75,6.97,1.44,1.46,458.1,10.8,0
4.03,8.37,7.17,2.31,1.63,452.0,20.3,1
47.08,4.67,7.28,0.18,0.94,422.1,17.3,0
56.46,3.97,6.97,2.01,1.66,444.5,27.5,0
45.15,4.09,7.08,0.62,1.33,460.7,13.7,0
43.92,4.07,6.7,2.59,1.9,451.5,16.0,0
43.64,4.29,7.09,0.1,1.4,466.7,17.4,0
43.82,3.97,7.73,1.92,1.49,521.5,20.4,0
45.13,4.52,7.21,0.73,0.79,451.2,27.0,0
49.65,4.2,6.91,0.1,1.97,407.6,20.2,0
43.86,4.54,6.86,0.93,1.69,553.8,12.3,0
43.24,5.58,7.57,9.7,1.76,482.2,21.1,0
43.83,3.38,7.33,1.05,1.57,495.9,15.1,0
51.33,4.71,7.05,1.79,1.26,372.7,18.7,0
42.71,5.44,7.33,0.65,1.86,481.6,20.0,0
48.72,3.87,7.76,0.22,1.69,509.2,16.7,0
49.03,3.96,7.45,0.45,1.08,482.3,20.1,0
44.25,5.05,7.29,1.53,1.52,481.1,17.3,0
43.72,4.07,6.91,0.48,1.35,512.0,16.1,0
38.66,4.48,7.0,0.84,1.7,504.1,11.5,0
49.82,4.62,6.98,1.45,1.79,380.9,12.8,0
50.77,4.44,6.94,0.89,1.46,514.6,19.7,0
6.39,6.55,7.43,0.35,1.89,437.5,15.6,1
48.9,4.24,7.12,3.35,1.51,454.8,21.1,0
58.89,4.22,7.05,1.29,2.01,441.5,17.7,0
47.2,5.35,7.15,1.36,1.66,500.0,18.2,0
51.27,4.74,6.85,1.51,1.03,416.7,18.1,0
50.05,4.65,7.27,2.13,1.6,381.2,17.4,0
42.18,9.22,7.26,0.91,1.34,446.5,18.2,1
44.74,4.88,6.99,0.2,1.78,441.4,18.7,0
43.46,3.83,7.04,10.87,1.53,452.9,21.5,0
44.11,5.26,6.55,0.79,1.27,447.5,23.7,0
13.24,2.11,6.8,2.19,1.91,428.4,18.9,1
43.04,3.74,7.21,2.82,1.81,525.0,20.3,0
46.58,4.16,7.24,5.32,1.98,440.7,15.8,0
54.81,5.16,7.03,1.18,1.49,503.3,12.5,0
44.25,4.42,7.07,0.94,1.49,440.4,21.5,0
47.8,4.48,7.02,0.8,1.8,498.8,19.0,0
41.02,4.9,7.04,3.37,1.68,532.1,13.2,0
43.84,4.88,6.94,6.2,1.48,464.1,20.0,0
45.1,4.73,7.37,1.49,1.44,376.2,16.2,0
49.99,3.68,7.2,1.94,1.52,397.1,20.1,0
37.8,4.77,7.43,1.29,1.14,471.6,13.9,0
49.59,4.22,7.09,0.12,1.46,493.2,24.5,0
45.46,3.57,6.83,3.02,1.87,415.9,20.0,0
38.89,5.41,7.27,0.33,0.99,512.9,12.3,0
42.27,4.72,7.34,2.16,1.15,421.3,15.9,0
38.91,4.88,7.17,1.3,1.74,497.5,18.1,0
42.78,4.67,7.65,0.1,1.65,491.0,20.3,0
47.49,5.42,6.76,0.22,1.55,471.3,22.5,0
48.82,4.24,7.09,1.8,0.91,429.6,24.4,0
41.87,4.37,7.07,0.56,1.55,481.5,16.1,0
36.23,5.82,7.48,0.78,1.6,388.8,15.5,0
40.32,4.35,7.04,0.87,1.73,489.6,20.8,0
45.79,5.2,7.54,0.79,1.7,425.6,18.7,0
41.21,4.64,7.13,1.1,1.3,451.1,14.9,0
47.25,4.37,7.14,1.72,1.31,456.2,19.8,0
42.89,5.67,7.02,0.55,1.55,407.4,17.3,0
54.77,4.94,7.78,2.5,1.79,441.9,12.9,0
50.5,4.62,7.03,3.48,1.15,386.8,16.1,0
41.59,4.76,7.08,0.56,1.7,413.8,24.6,0
43.52,4.5,7.44,0.16,1.51,397.9,9.9,0
46.37,5.18,7.7,1.92,1.22,502.1,15.5,0
13.3,2.18,6.91,0.93,1.69,430.3,15.1,1
35.35,4.28,7.45,1.55,1.4,391.3,10.2,0
43.05,4.06,7.14,1.51,2.02,392.4,15.2,0
39.73,4.84,7.32,0.2,1.28,409.6,12.9,0
45.31,3.98,6.89,2.95,1.5,385.4,25.6,0
46.96,5.2,7.13,2.26,1.8,428.8,17.2,0
54.99,4.9,7.55,3.36,1.67,506.8,17.1,0
36.54,3.73,7.26,0.76,1.75,454.8,17.6,0
52.09,3.23,6.76,0.61,0.89,500.1,20.6,0
42.42,4.58,7.13,3.37,0.98,538.3,17.4,0
31.69,4.4,7.43,0.16,1.32,402.8,20.1,0
46.38,4.71,7.63,0.15,1.73,483.1,21.7,0
44.28,4.12,7.11,3.08,1.43,429.5,9.3,0
39.15,4.39,6.9,0.19,1.69,445.3,14.3,0
41.57,5.06,6.86,4.11,2.06,392.0,25.1,0
42.45,4.69,7.33,0.36,2.01,423.7,19.9,0
47.11,4.04,7.0,0.58,1.42,452.0,15.5,0
40.32,4.44,8.0,2.36,1.82,468.3,23.7,0
41.23,5.72,7.37,2.19,1.89,474.9,19.3,0
51.27,4.49,7.61,1.96,0.64,387.0,19.3,0
38.28,4.34,8.13,0.44,1.57,380.2,17.3,0
39.98,5.59,6.83,1.32,1.44,484.6,18.9,0
38.11,11.77,7.36,0.22,1.0,387.9,17.8,1
49.19,5.78,7.41,4.61,0.86,474.3,16.5,0
39.17,5.13,6.56,1.97,1.47,485.9,22.5,0
6.43,9.85,7.18,0.21,1.69,419.1,19.9,1
41.91,3.81,6.92,1.48,1.44,398.4,21.8,0
41.08,4.77,7.03,3.01,1.5,412.2,8.3,0
46.12,3.8,5.61,25.62,0.12,425.0,18.8,1
55.55,5.2,6.89,2.01,1.5,497.8,9.8,0
41.44,3.36,7.17,0.51,1.01,468.3,17.7,0
37.58,4.86,7.38,2.33,1.34,498.6,15.7,0
45.94,3.7,7.34,0.8,1.48,426.8,17.3,0
48.37,4.72,7.42,0.86,1.21,485.0,14.1,0
36.62,3.83,7.32,1.57,1.52,407.8,13.9,0
56.97,4.27,6.93,0.29,1.89,458.5,22.3,0
44.41,4.88,7.42,1.06,1.25,491.6,25.2,0
49.72,5.21,7.47,0.86,2.04,411.5,16.1,0
46.94,4.55,7.25,4.01,0.97,415.2,12.8,0
46.1,4.59,5.55,23.77,0.18,415.8,16.1,1
43.06,3.87,6.76,0.41,1.34,538.6,16.7,0
52.74,5.02,7.49,0.2,1.28,386.9,17.1,0
51.56,4.69,7.07,2.53,1.48,424.3,22.1,0
42.0,4.31,7.33,0.96,1.32,426.0,22.4,0
58.92,3.58,7.51,0.7,1.26,377.7,21.1,0
49.87,5.54,7.78,2.05,1.6,452.5,24.9,0
15.36,2.03,7.14,0.1,1.64,491.1,21.3,1
43.51,4.34,6.98,0.78,1.54,362.0,16.4,0
45.67,4.99,7.49,0.55,1.27,474.9,21.1,0
45.95,4.65,7.45,1.68,0.98,427.9,23.9,0
48.96,4.56,6.99,2.24,1.67,556.9,24.0,0
43.9,3.82,7.27,3.85,1.22,388.7,16.4,0
49.28,4.12,7.1,3.85,1.28,429.7,19.7,0
44.52,4.94,7.26,1.25,1.41,433.2,19.1,0
47.21,4.1,7.28,1.11,1.19,426.7,19.4,0
40.76,4.31,7.26,0.3,1.91,493.1,18.9,0
45.57,4.8,7.35,2.84,1.33,483.0,17.6,0
40.21,3.58,6.98,2.09,1.64,566.9,22.3,0
43.17,4.98,7.04,1.77,1.24,389.0,24.8,0
47.14,4.71,6.88,3.6,2.01,487.7,19.3,0
46.06,5.01,7.61,1.14,1.84,464.6,20.8,0
49.56,3.94,6.73,0.18,1.88,363.3,18.4,0
42.2,4.97,7.22,0.1,1.54,460.3,21.9,0
42.63,4.54,7.27,0.68,2.07,424.4,17.0,0
48.61,4.06,6.89,0.72,1.62,436.5,12.9,0
40.51,4.9,6.83,11.69,0.4,442.8,17.9,1
52.17,4.48,6.76,2.48,1.72,420.1,22.5,0
44.22,3.86,7.4,0.65,1.37,424.5,23.4,0
44.42,4.7,7.52,1.53,1.42,350.9,11.4,0
41.54,4.25,7.14,1.02,1.56,410.2,21.4,0
55.52,4.0,7.19,1.64,1.77,442.1,14.9,0
42.74,8.4,7.26,3.48,2.15,422.0,15.6,1
41.94,3.85,8.43,22.03,0.32,501.6,26.1,1
47.08,8.83,7.42,0.97,1.08,433.3,27.2,1
50.76,5.04,7.59,0.4,1.82,460.3,25.8,0
48.94,4.18,7.12,1.73,1.86,414.5,11.8,0
