UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
38,L38,L,302.7,314.0,1724,28.8,121,0,0,0,0,0,0
39,L39,L,296.6,307.0,1471,52.8,209,1,1,0,0,1,0
40,L40,L,299.4,310.4,1666,33.4,89,0,0,0,0,0,0
41,H41,H,298.4,307.2,1628,33.3,49,0,0,0,0,0,0
42,L42,L,300.4,310.3,1453,38.3,3,0,0,0,0,0,0
43,M43,M,300.9,311.5,1628,23.4,38,0,0,0,0,0,0
44,M44,M,298.6,310.8,1559,50.9,166,0,0,0,0,0,0
45,M45,M,300.5,310.3,1215,40.4,176,0,0,0,0,0,0
46,L46,L,302.5,314.4,1525,30.8,28,0,0,0,0,0,0
47,M47,M,301.1,311.7,1175,44.0,52,0,0,0,0,0,0
48,L48,L,299.5,307.5,1543,43.0,54,0,0,0,0,0,0
49,L49,L,302.7,313.1,1511,39.1,203,0,0,0,0,0,0
50,H50,H,299.7,310.7,1595,23.9,99,0,0,0,0,0,0
51,M51,M,300.3,311.7,1568,44.1,103,0,0,0,0,0,0
52,L52,L,300.6,311.0,1667,38.7,105,0,0,0,0,0,0
53,L53,L,299.3,310.0,1308,65.6,230,1,0,0,0,1,0
54,L54,L,301.0,311.9,1439,27.9,141,0,0,0,0,0,0
55,M55,M,301.7,309.7,1682,32.7,225,0,0,0,0,0,0
56,L56,L,305.8,316.1,1663,37.6,34,0,0,0,0,0,0
57,M57,M,299.2,309.0,1420,42.1,143,0,0,0,0,0,0
58,M58,M,302.3,313.1,1741,36.2,183,0,0,0,0,0,0
59,M59,M,301.5,311.0,1542,54.3,210,1,1,0,0,0,0
60,L60,L,300.4,310.6,1244,52.1,64,0,0,0,0,0,0
61,L61,L,303.4,314.8,1434,30.5,216,1,1,0,0,0,0
62,L62,L,299.3,309.2,1826,50.8,212,1,1,0,1,0,0
63,M63,M,297.8,307.5,1412,31.9,148,0,0,0,0,0,0
64,L64,L,299.8,310.3,1690,31.2,232,0,0,0,0,0,0
65,M65,M,302.1,314.9,1528,57.6,26,1,0,0,1,0,0
66,L66,L,299.6,310.5,1606,39.7,95,0,0,0,0,0,0
67,L67,L,300.6,311.0,1516,42.7,41,0,0,0,0,0,0
68,L68,L,303.5,313.2,1664,22.3,109,0,0,0,0,0,0
69,L69,L,300.6,309.5,1484,54.1,40,0,0,0,0,0,0
70,L70,L,302.2,312.5,1652,27.8,239,0,0,0,0,0,0
71,L71,L,299.2,310.3,1721,22.8,162,0,0,0,0,0,0
72,L72,L,296.0,305.3,1386,30.4,83,0,0,0,0,0,0
73,M73,M,300.6,309.4,1711,53.9,32,1,0,0,1,0,0
74,M74,M,301.0,311.6,1606,26.0,121,0,0,0,0,0,0
75,M75,M,300.5,310.7,1502,53.5,229,1,1,0,0,1,0
76,L76,L,299.6,309.4,1674,52.7,100,1,0,0,1,0,0
77,H77,H,299.2,308.2,1661,19.9,239,1,0,0,1,0,0
78,L78,L,298.2,309.9,1608,41.2,97,0,0,0,0,0,0
79,M79,M,300.5,311.2,1506,34.1,44,0,0,0,0,0,0
80,L80,L,302.2,312.5,1654,45.2,135,0,0,0,0,0,0
81,L81,L,299.0,307.6,1563,36.8,45,0,0,0,0,0,0
82,H82,H,296.0,305.0,1299,41.5,13,0,0,0,0,0,0
83,H83,H,299.1,308.8,1481,27.5,122,0,0,0,0,0,0
84,L84,L,300.7,310.0,1442,41.7,3,0,0,0,0,0,0
85,L85,L,295.6,304.6,1588,59.2,169,1,0,0,1,0,0
86,L86,L,301.1,311.3,1615,45.5,217,0,0,0,0,0,0
87,L87,L,300.9,310.9,1400,40.3,43,0,0,0,0,0,0
88,L88,L,297.6,307.9,1574,53.5,136,0,0,0,0,0,0
89,L89,L,300.8,310.2,1422,43.5,119,0,0,0,0,0,0
90,M90,M,301.3,310.3,1730,38.5,159,0,0,0,0,0,0
91,M91,M,299.5,310.0,1568,39.1,206,0,0,0,0,0,0
92,M92,M,300.3,312.3,1525,36.2,71,0,0,0,0,0,0
93,H93,H,297.3,308.2,1475,34.7,101,0,0,0,0,0,0
94,M94,M,297.9,308.3,1753,27.9,74,0,0,0,0,0,0
95,L95,L,301.2,310.4,1270,44.4,189,0,0,0,0,0,0
96,L96,L,299.3,308.3,1492,38.5,128,0,0,0,0,0,0
97,M97,M,301.0,309.4,1371,41.6,130,1,0,1,0,0,0
98,L98,L,300.0,309.9,1437,51.8,127,0,0,0,0,0,0
99,L99,L,302.4,311.4,1503,52.3,146,0,0,0,0,0,0
100,M100,M,300.0,309.3,1641,41.7,157,0,0,0,0,0,0
101,L101,L,296.8,305.4,1566,52.7,238,1,1,0,0,1,0
102,L102,L,301.0,310.9,1426,53.3,1,0,0,0,0,0,0
103,L103,L,299.1,307.1,1510,49.4,178,0,0,0,0,0,0
104,L104,L,301.1,310.6,1729,33.0,82,0,0,0,0,0,0
105,M105,M,298.3,308.2,1794,44.8,111,0,0,0,0,0,0
106,M106,M,300.5,310.5,1342,52.3,198,0,0,0,0,0,0
107,H107,H,300.3,311.5,1327,45.2,2,0,0,0,0,0,0
108,M108,M,301.4,313.3,1630,28.2,213,1,1,0,0,0,0
109,L109,L,302.6,311.3,1250,23.0,162,1,0,0,1,0,0
110,H110,H,302.6,310.2,1344,34.1,87,1,0,1,0,0,0
111,L111,L,295.6,304.1,1430,37.6,107,0,0,0,0,0,0
112,M112,M,298.2,308.0,1828,36.8,10,0,0,0,0,0,0
113,H113,H,298.0,307.3,1456,30.9,44,0,0,0,0,0,0
114,M114,M,300.6,308.4,1722,47.2,6,0,0,0,0,0,0
115,L115,L,300.4,311.2,1623,15.8,50,1,0,0,1,0,0
116,L116,L,300.8,310.4,1788,46.2,126,0,0,0,0,0,0
117,L117,L,300.4,308.6,1373,37.8,48,1,0,1,0,0,0
118,M118,M,298.4,307.2,1733,62.9,42,1,0,0,1,0,0
119,L119,L,299.1,309.6,1725,64.8,39,1,0,0,1,0,0
120,L120,L,297.5,307.7,1601,42.3,152,0,0,0,0,0,0
121,M121,M,301.4,311.9,1590,36.0,99,0,0,0,0,0,0
122,L122,L,303.6,313.5,2108,48.4,56,1,0,0,1,0,0
123,M123,M,299.5,310.3,1339,34.7,194,0,0,0,0,0,0
124,L124,L,302.7,312.4,1752,38.0,197,0,0,0,0,0,0
125,L125,L,298.3,308.7,1614,32.8,238,1,1,0,0,0,0
126,L126,L,298.8,308.5,1657,38.8,19,0,0,0,0,0,0
127,H127,H,302.8,315.0,1069,48.7,68,0,0,0,0,0,0
128,M128,M,300.0,310.8,1481,51.0,67,0,0,0,0,0,0
129,L129,L,300.4,308.4,1357,31.9,129,1,0,1,0,0,0
130,L130,L,304.9,313.4,1770,33.2,133,0,0,0,0,0,0
131,L131,L,300.2,308.6,1554,23.8,55,0,0,0,0,0,0
132,M132,M,302.7,311.1,1388,22.0,72,1,0,0,1,0,0
133,H133,H,302.4,311.6,1346,37.0,19,0,0,0,0,0,0
134,L134,L,297.9,307.7,1449,42.3,167,0,0,0,0,0,0
135,L135,L,299.3,310.1,1463,36.1,159,0,0,0,0,0,0
136,M136,M,300.4,308.8,1561,37.7,93,0,0,0,0,0,0
137,L137,L,300.7,310.6,1810,29.0,224,1,1,0,0,0,0
138,L138,L,297.5,309.3,1424,42.8,156,0,0,0,0,0,0
139,M139,M,300.5,309.8,1376,35.3,88,0,0,0,0,0,0
140,L140,L,300.7,311.7,1679,28.1,75,0,0,0,0,0,0
141,L141,L,299.6,310.5,1372,39.2,92,0,0,0,0,0,0
142,L142,L,299.8,310.5,1520,28.7,182,0,0,0,0,0,0
143,L143,L,297.5,307.0,1371,33.3,67,0,0,0,0,0,0
144,L144,L,302.6,312.7,1307,35.9,175,0,0,0,0,0,0
145,L145,L,300.1,310.4,1326,45.7,172,0,0,0,0,0,0
146,L146,L,298.8,310.1,1678,38.4,187,0,0,0,0,0,0
147,L147,L,301.1,311.4,1517,36.2,3,0,0,0,0,0,0
148,L148,L,299.3,310.1,1383,28.9,55,0,0,0,0,0,0
149,L149,L,302.1,311.5,1358,18.5,19,1,0,0,1,0,0
150,L150,L,300.8,309.4,1537,50.0,153,0,0,0,0,0,0
151,M151,M,298.4,306.5,1456,45.8,157,0,0,0,0,0,0
152,L152,L,299.9,310.9,1593,37.6,172,0,0,0,0,0,0
153,M153,M,296.7,306.8,1298,45.1,49,0,0,0,0,0,0
154,L154,L,302.1,311.3,1575,33.9,234,0,0,0,0,0,0
155,L155,L,299.5,307.6,1625,46.6,172,0,0,0,0,0,0
156,H156,H,300.8,308.9,1629,35.1,128,0,0,0,0,0,0
157,M157,M,301.3,312.2,1537,27.9,4,0,0,0,0,0,0
158,H158,H,298.4,309.4,1554,37.4,8,0,0,0,0,0,0
159,L159,L,303.6,313.3,1270,37.6,32,0,0,0,0,0,0
160,L160,L,299.3,309.6,1346,58.8,43,0,0,0,0,0,0
161,H161,H,299.6,308.7,1160,42.8,167,0,0,0,0,0,0
162,L162,L,297.3,306.3,1560,38.3,148,0,0,0,0,0,0
163,L163,L,299.6,310.6,1365,51.1,168,0,0,0,0,0,0
164,H164,H,297.6,306.9,1375,51.8,124,0,0,0,0,0,0
165,L165,L,297.2,307.2,1562,23.4,209,0,0,0,0,0,0
166,L166,L,306.7,315.3,1564,40.1,95,0,0,0,0,0,0
167,M167,M,302.2,314.9,1319,42.8,76,0,0,0,0,0,0
168,L168,L,298.7,309.0,1523,30.1,129,0,0,0,0,0,0
169,H169,H,298.5,309.7,1343,29.6,219,1,1,0,0,0,0
170,H170,H,297.2,306.4,1698,43.2,190,0,0,0,0,0,0
171,L171,L,300.0,309.6,1921,44.7,73,0,0,0,0,0,0
172,L172,L,299.1,310.9,1510,39.6,49,0,0,0,0,0,0
173,H173,H,298.8,307.2,1737,42.0,139,0,0,0,0,0,0
174,H174,H,299.6,308.2,1709,45.6,207,1,1,0,0,0,0
175,L175,L,299.4,309.8,1262,42.8,16,0,0,0,0,0,0
176,L176,L,302.6,314.0,1448,13.7,113,1,0,0,1,0,0
177,L177,L,298.6,309.1,1771,57.3,145,1,0,0,1,0,0
178,M178,M,299.4,310.7,1648,43.0,231,0,0,0,0,0,0
179,M179,M,299.2,310.4,1522,34.8,135,0,0,0,0,0,0
180,M180,M,299.9,309.4,1444,38.6,149,0,0,0,0,0,0
181,H181,H,297.2,308.6,1328,54.6,19,0,0,0,0,0,0
182,M182,M,303.2,314.2,1577,54.0,94,0,0,0,0,0,0
183,L183,L,301.8,312.0,1690,32.7,167,0,0,0,0,0,0
184,L184,L,299.3,308.5,1464,45.7,178,0,0,0,0,0,0
185,L185,L,299.8,310.1,1628,37.4,179,0,0,0,0,0,0
186,M186,M,303.5,313.2,1389,36.7,237,0,0,0,0,0,0
187,L187,L,298.3,308.8,1597,37.0,68,0,0,0,0,0,0
188,L188,L,300.8,308.5,1546,31.8,113,0,0,0,0,0,0
189,M189,M,302.2,312.1,1665,38.8,236,0,0,0,0,0,0
190,L190,L,299.3,310.5,1700,53.9,165,1,0,0,1,0,0
191,M191,M,299.7,309.5,1654,24.2,9,0,0,0,0,0,0
192,L192,L,297.7,305.3,1254,30.4,51,1,0,1,0,0,0
193,M193,M,300.6,310.5,1372,23.0,135,1,0,0,1,0,0
194,L194,L,296.4,306.6,1734,36.8,143,0,0,0,0,0,0
195,L195,L,300.8,313.0,1411,53.8,143,0,0,0,0,0,0
196,M196,M,302.2,310.8,1411,32.2,35,0,0,0,0,0,0
197,H197,H,301.2,310.4,1554,51.8,139,0,0,0,0,0,0
198,L198,L,299.1,308.6,1475,48.1,68,0,0,0,0,0,0
199,L199,L,300.5,308.9,1414,28.8,26,0,0,0,0,0,0
200,H200,H,299.2,310.7,1324,47.3,104,0,0,0,0,0,0
201,H201,H,297.1,307.0,1744,44.3,109,0,0,0,0,0,0
202,H202,H,301.1,311.9,1663,43.2,153,0,0,0,0,0,0
203,M203,M,298.6,307.2,1669,42.1,31,0,0,0,0,0,0
204,L204,L,300.0,312.2,1707,53.3,34,1,0,0,1,0,0
205,L205,L,301.3,311.3,1754,37.4,239,1,1,0,0,0,0
206,L206,L,298.5,309.0,1522,57.5,159,1,0,0,1,0,0
207,L207,L,302.4,313.7,1593,40.7,200,1,1,0,0,0,0
208,M208,M,302.0,310.3,1294,46.6,154,1,0,1,0,0,0
209,M209,M,297.8,308.0,1853,40.3,91,0,0,0,0,0,0
210,H210,H,301.6,311.3,1647,25.6,153,0,0,0,0,0,0
211,M211,M,302.5,314.4,1399,39.2,38,0,0,0,0,0,0
212,L212,L,298.6,310.2,1332,35.5,174,0,0,0,0,0,0
213,L213,L,298.8,309.8,1633,39.8,133,0,0,0,0,0,0
214,L214,L,301.1,312.3,1526,21.0,197,1,0,0,1,0,0
215,L215,L,298.9,309.7,1465,37.4,5,0,0,0,0,0,0
216,L216,L,301.3,311.1,1484,39.8,76,0,0,0,0,0,0
217,L217,L,301.1,310.7,1453,44.4,73,0,0,0,0,0,0
218,M218,M,297.4,306.6,1354,35.1,146,0,0,0,0,0,0
219,L219,L,302.0,312.2,1514,40.1,68,0,0,0,0,0,0
220,L220,L,300.1,309.6,1471,43.2,30,0,0,0,0,0,0
221,L221,L,296.9,308.0,1734,44.9,83,0,0,0,0,0,0
222,M222,M,298.4,310.1,1506,29.5,106,0,0,0,0,0,0
223,L223,L,301.7,310.3,1773,44.3,141,0,0,0,0,0,0
224,M224,M,302.0,312.3,1596,34.8,104,0,0,0,0,0,0
225,L225,L,299.8,310.9,1700,41.5,1,0,0,0,0,0,0
226,L226,L,299.0,308.8,1615,28.1,154,0,0,0,0,0,0
227,L227,L,302.5,314.0,1440,52.2,164,0,0,0,0,0,0
228,L228,L,300.0,309.4,1754,49.2,162,1,0,0,1,0,0
229,M229,M,301.1,311.3,1674,40.1,215,0,0,0,0,0,0
230,L230,L,299.6,308.3,1327,37.7,158,0,0,0,0,0,0
231,L231,L,298.3,308.1,1658,50.9,191,0,0,0,0,0,0
232,L232,L,303.4,312.1,1389,28.9,91,0,0,0,0,0,0
233,L233,L,297.0,307.6,1568,31.9,24,0,0,0,0,0,0
234,M234,M,298.6,308.5,1629,49.5,10,0,0,0,0,0,0
235,L235,L,298.5,306.9,1626,43.8,107,0,0,0,0,0,0
236,M236,M,300.4,309.1,1124,41.8,84,0,0,0,0,0,0
237,M237,M,304.1,314.4,1434,54.7,59,0,0,0,0,0,0
238,L238,L,302.8,312.0,1615,45.8,38,0,0,0,0,0,0
239,L239,L,296.3,303.9,1667,26.0,33,0,0,0,0,0,0
240,M240,M,299.7,310.8,1344,32.4,132,0,0,0,0,0,0
241,L241,L,300.5,310.8,1628,47.2,105,0,0,0,0,0,0
242,L242,L,299.6,309.5,1129,38.5,60,0,0,0,0,0,0
243,L243,L,300.7,309.1,1625,39.6,8,0,0,0,0,0,0
244,L244,L,302.1,312.8,1583,42.8,176,0,0,0,0,0,0
245,L245,L,304.1,314.1,1680,33.9,229,0,0,0,0,0,0
246,L246,L,300.1,310.7,1481,56.3,106,0,0,0,0,0,0
247,M247,M,300.5,310.5,1546,36.0,70,0,0,0,0,0,0
248,L248,L,301.2,311.2,1548,33.2,83,0,0,0,0,0,0
249,L249,L,299.0,309.6,1618,40.2,31,0,0,0,0,0,0
250,L250,L,300.5,308.4,1531,44.6,41,0,0,0,0,0,0
251,M251,M,303.8,314.8,1271,37.6,193,0,0,0,0,0,0
252,M252,M,300.7,311.6,1859,31.9,33,0,0,0,0,0,0
253,L253,L,304.3,313.5,1725,45.8,15,0,0,0,0,0,0
254,L254,L,298.3,308.0,1502,37.6,57,0,0,0,0,0,0
255,L255,L,302.8,313.1,1609,17.6,178,1,0,0,1,0,0
256,H256,H,295.8,304.1,1841,33.4,219,1,1,0,0,0,0
257,M257,M,302.9,313.0,1753,40.0,117,0,0,0,0,0,0
258,H258,H,300.8,310.9,1614,30.6,228,0,0,0,0,0,0
259,H259,H,302.9,312.8,1592,33.9,232,0,0,0,0,0,0
260,L260,L,298.7,307.5,1340,26.0,20,0,0,0,0,0,0
261,L261,L,298.5,308.6,1524,22.7,190,0,0,0,0,0,0
262,M262,M,302.5,312.2,1430,54.6,160,0,0,0,0,0,0
263,L263,L,298.8,310.5,1567,35.1,17,0,0,0,0,0,0
264,L264,L,296.1,306.3,1318,29.6,138,0,0,0,0,0,0
265,L265,L,299.1,307.4,1511,58.8,224,1,1,0,1,1,0
266,L266,L,301.3,312.6,1410,38.5,226,1,1,0,0,0,0
267,L267,L,303.8,314.2,1415,34.7,11,0,0,0,0,0,0
268,H268,H,299.7,308.6,1527,33.5,144,0,0,0,0,0,0
269,L269,L,300.1,311.8,1321,13.3,70,1,0,0,1,0,0
270,M270,M,301.4,311.4,1237,49.6,151,0,0,0,0,0,0
271,L271,L,301.1,309.5,1550,41.3,56,0,0,0,0,0,0
272,L272,L,302.6,315.1,1248,42.8,75,0,0,0,0,0,0
273,L273,L,303.7,313.4,1594,46.8,144,0,0,0,0,0,0
274,L274,L,300.2,310.6,1615,39.3,58,0,0,0,0,0,0
275,L275,L,298.8,308.3,1841,37.9,196,0,0,0,0,0,0
276,L276,L,299.4,310.3,1387,47.3,165,0,0,0,0,0,0
277,M277,M,299.6,309.3,1533,39.1,189,0,0,0,0,0,0
278,L278,L,298.7,309.5,1489,21.5,181,1,0,0,1,0,0
279,M279,M,301.8,311.1,1591,36.2,34,0,0,0,0,0,0
280,L280,L,298.0,307.4,1265,53.2,203,0,0,0,0,0,0
281,M281,M,298.9,310.1,1489,35.3,99,0,0,0,0,0,0
282,M282,M,299.0,311.4,1611,39.3,12,0,0,0,0,0,0
283,L283,L,299.1,310.8,1326,32.3,14,0,0,0,0,0,0
284,M284,M,299.0,308.3,1345,56.1,152,0,0,0,0,0,0
285,M285,M,297.3,308.4,1320,51.0,195,0,0,0,0,0,0
286,H286,H,300.1,310.1,1352,54.6,188,0,0,0,0,0,0
287,L287,L,300.6,309.1,1200,51.6,106,1,0,1,0,0,0
288,M288,M,299.6,310.2,1387,24.5,25,0,0,0,0,0,0
289,L289,L,297.5,308.0,1214,47.9,100,0,0,0,0,0,0
290,L290,L,300.4,310.9,1645,34.9,231,1,1,0,0,0,0
291,L291,L,296.6,307.4,1645,35.3,141,0,0,0,0,0,0
292,L292,L,300.6,310.9,1437,62.1,56,1,0,0,1,0,0
293,M293,M,301.5,309.7,1617,37.2,149,0,0,0,0,0,0
294,L294,L,301.9,312.2,1464,16.0,52,1,0,0,1,0,0
295,L295,L,301.8,311.9,1298,9.6,78,1,0,0,1,0,0
296,H296,H,301.9,313.5,1655,21.2,191,0,0,0,0,0,0
297,L297,L,302.3,312.4,1490,46.8,88,0,0,0,0,0,0
298,L298,L,299.6,309.4,1697,42.1,225,0,0,0,0,0,0
299,M299,M,297.0,306.3,1576,46.5,55,0,0,0,0,0,0
300,L300,L,302.5,312.3,1633,31.5,74,0,0,0,0,0,0
301,L301,L,301.9,312.1,1513,45.2,19,0,0,0,0,0,0
302,L302,L,301.2,311.7,1759,37.9,172,0,0,0,0,0,0
303,L303,L,299.2,308.4,1634,36.7,159,0,0,0,0,0,0
304,L304,L,295.7,307.4,1422,50.3,39,0,0,0,0,0,0
305,L305,L,300.8,310.5,1626,42.3,209,1,1,0,0,0,0
306,M306,M,299.4,310.1,1568,45.3,229,1,1,0,0,0,0
307,H307,H,295.5,306.9,1401,38.2,113,0,0,0,0,0,0
308,L308,L,301.6,311.6,1782,35.4,54,0,0,0,0,0,0
309,M309,M,300.9,311.3,1541,26.6,73,0,0,0,0,0,0
310,L310,L,299.5,310.3,1754,33.0,45,0,0,0,0,0,0
311,M311,M,303.1,313.4,1888,39.2,195,0,0,0,0,0,0
312,M312,M,300.3,310.2,1321,42.1,109,0,0,0,0,0,0
313,L313,L,298.8,307.4,1535,48.3,179,0,0,0,0,0,0
314,L314,L,299.2,309.8,1631,14.4,121,1,0,0,1,0,0
315,H315,H,300.6,312.1,1854,51.0,151,1,0,0,1,0,0
316,M316,M,296.6,305.3,1355,33.6,151,0,0,0,0,0,0
317,M317,M,298.5,308.7,1581,35.5,112,0,0,0,0,0,0
318,M318,M,300.0,309.0,1401,35.6,173,0,0,0,0,0,0
319,L319,L,298.1,307.3,1679,46.1,36,0,0,0,0,0,0
320,L320,L,298.7,309.0,1670,30.1,28,0,0,0,0,0,0
321,L321,L,295.9,305.7,1529,63.6,89,1,0,0,1,0,0
322,M322,M,300.5,310.9,1346,22.9,46,1,0,0,1,0,0
323,H323,H,300.5,308.8,1581,60.2,119,1,0,0,1,0,0
324,L324,L,296.0,305.0,1493,50.7,45,0,0,0,0,0,0
325,L325,L,297.8,308.2,1502,47.1,237,1,1,0,0,1,0
326,L326,L,295.3,304.5,1472,31.1,106,0,0,0,0,0,0
327,H327,H,301.0,312.4,1805,45.9,140,0,0,0,0,0,0
328,M328,M,301.3,311.5,1818,34.8,80,0,0,0,0,0,0
329,L329,L,301.5,310.7,1737,22.0,93,0,0,0,0,0,0
330,H330,H,299.1,310.6,1481,39.5,54,0,0,0,0,0,0
331,M331,M,299.1,309.7,1918,31.1,175,0,0,0,0,0,0
332,L332,L,300.3,309.1,1747,45.3,53,0,0,0,0,0,0
333,L333,L,301.4,310.9,1520,45.6,52,0,0,0,0,0,0
334,M334,M,301.6,313.6,1652,48.2,164,0,0,0,0,0,0
335,H335,H,299.3,309.2,1678,21.5,88,0,0,0,0,0,0
336,M336,M,298.1,309.5,1396,31.6,181,0,0,0,0,0,0
337,M337,M,296.7,307.3,1212,36.8,143,0,0,0,0,0,0
338,M338,M,295.4,304.4,1758,48.3,223,1,1,0,0,0,0
339,L339,L,300.8,309.6,1629,36.8,129,0,0,0,0,0,0
340,L340,L,297.7,306.7,1904,34.5,180,0,0,0,0,0,0
341,M341,M,296.1,305.9,1413,43.4,43,0,0,0,0,0,0
342,L342,L,301.6,310.7,1776,54.9,179,1,0,0,1,0,0
343,L343,L,300.9,310.8,1542,34.8,208,1,1,0,0,0,0
344,L344,L,299.8,310.4,1627,50.7,100,0,0,0,0,0,0
345,M345,M,302.8,312.8,1532,46.4,15,0,0,0,0,0,0
346,L346,L,297.6,307.4,1308,60.6,212,1,0,0,0,1,0
347,L347,L,296.6,308.1,1951,58.8,113,1,0,0,1,0,0
348,L348,L,300.9,311.0,1503,31.3,147,0,0,0,0,0,0
349,M349,M,302.2,313.3,1559,34.7,108,0,0,0,0,0,0
350,L350,L,299.6,310.6,1421,51.5,24,0,0,0,0,0,0
351,L351,L,298.1,308.3,1559,41.8,37,0,0,0,0,0,0
352,L352,L,300.9,311.3,1476,44.1,72,0,0,0,0,0,0
353,M353,M,298.8,307.3,1748,38.9,223,0,0,0,0,0,0
354,M354,M,300.6,311.4,1224,32.6,28,0,0,0,0,0,0
355,L355,L,301.4,313.2,1617,56.7,140,1,0,0,1,0,0
356,M356,M,300.0,309.7,1591,25.0,128,0,0,0,0,0,0
357,L357,L,302.1,311.8,1493,22.5,13,0,0,0,0,0,0
358,L358,L,296.2,306.3,1574,36.5,186,0,0,0,0,0,0
359,L359,L,300.9,310.5,1361,49.6,46,0,0,0,0,0,0
360,L360,L,299.4,308.8,1779,39.2,145,0,0,0,0,0,0
361,H361,H,299.0,308.9,1745,31.6,43,0,0,0,0,0,0
362,L362,L,297.6,308.8,1645,40.8,192,0,0,0,0,0,0
363,M363,M,300.3,310.9,1706,50.3,150,0,0,0,0,0,0
364,M364,M,300.6,309.5,1595,50.2,119,0,0,0,0,0,0
365,M365,M,302.0,311.2,1834,38.1,190,0,0,0,0,0,0
366,L366,L,300.4,310.1,1919,25.2,102,0,0,0,0,0,0
367,L367,L,297.8,307.9,1752,34.3,164,0,0,0,0,0,0
368,L368,L,298.9,309.6,1357,26.9,43,0,0,0,0,0,0
369,L369,L,301.1,311.7,1491,36.1,92,0,0,0,0,0,0
370,L370,L,299.0,309.3,1998,50.8,12,1,0,0,1,0,0
371,L371,L,298.2,308.0,1581,43.3,74,0,0,0,0,0,0
372,M372,M,296.2,306.7,1649,38.6,179,0,0,0,0,0,0
373,M373,M,298.5,308.7,1707,33.0,28,0,0,0,0,0,0
374,L374,L,300.6,309.1,1334,54.6,82,1,0,1,0,0,0
375,L375,L,302.3,311.6,1358,32.4,208,1,1,0,0,0,0
376,H376,H,300.7,309.8,1559,43.7,133,0,0,0,0,0,0
377,L377,L,299.9,311.1,1604,31.0,63,0,0,0,0,0,0
378,L378,L,300.5,310.7,1947,30.7,127,0,0,0,0,0,0
379,L379,L,302.2,310.8,1502,29.2,99,0,0,0,0,0,0
380,M380,M,298.2,306.4,1459,31.6,0,0,0,0,0,0,0
381,L381,L,298.8,308.9,1116,28.4,112,1,0,0,1,0,0
382,L382,L,301.2,312.0,1339,39.6,143,0,0,0,0,0,0
383,L383,L,302.3,311.9,1801,37.3,138,0,0,0,0,0,0
384,L384,L,298.1,309.5,1475,30.4,193,0,0,0,0,0,0
