supply_air_temp_c,return_air_temp_c,humidity_pct,airflow_cfm,power_draw_kw,refrigerant_pressure_psi,runtime_hours,anomaly
24.65,25.44,47.2,495,15.88,208.7,16491,1
21.11,22.72,42.4,1960,18.59,192.6,40735,0
20.64,23.83,46.0,2134,11.87,189.9,43342,0
22.41,22.88,67.7,2021,16.3,208.0,38843,0
21.99,22.34,36.8,1815,11.23,176.9,18467,0
23.28,23.55,53.2,1722,14.23,214.9,32259,0
19.61,23.07,43.7,1770,14.5,216.4,17010,0
22.08,21.73,45.7,2136,20.62,178.8,23639,0
22.16,22.69,44.6,2155,15.89,189.4,29754,0
21.86,24.15,45.8,1665,29.02,189.5,36789,1
20.93,22.71,49.4,2059,14.88,169.7,1802,0
22.31,24.46,32.2,2048,12.11,196.3,18365,0
23.8,23.47,37.8,2047,21.44,88.5,49108,1
32.25,36.15,43.6,2389,12.84,194.7,21892,1
22.25,24.28,37.3,2058,14.76,200.4,15277,0
22.56,25.44,43.9,1903,20.61,197.7,32401,0
21.66,25.57,51.4,1489,18.13,153.9,24960,0
20.99,22.54,39.7,2566,16.31,137.8,1292,1
22.47,23.36,46.7,415,15.28,232.4,42609,1
24.23,24.98,45.2,2032,17.39,213.9,34469,0
22.98,27.27,42.8,2508,13.31,198.5,23909,0
21.65,21.65,50.8,1838,9.17,218.3,6028,0
23.78,24.03,35.4,2233,14.08,206.3,33053,0
23.38,24.0,39.5,1694,42.83,215.6,299,1
23.82,22.7,50.1,310,15.6,210.2,20739,1
19.18,24.53,42.2,1777,15.48,225.5,42509,0
22.33,24.66,31.8,1225,11.22,222.1,41038,0
24.72,23.03,47.9,2238,17.02,191.0,38265,0
24.61,24.79,52.2,2307,12.2,212.9,42494,0
21.91,25.09,47.4,2293,11.52,180.0,14232,0
21.12,24.49,45.4,1729,16.75,177.5,39165,0
20.77,23.27,44.8,2244,42.63,234.8,35632,1
21.92,26.68,55.3,1247,44.45,200.2,48325,1
21.87,24.46,47.8,2325,13.01,175.0,13838,0
22.65,23.88,52.5,2014,15.97,166.3,17634,0
21.7,22.75,45.6,2278,14.16,214.9,39744,0
21.01,26.67,36.6,1797,14.38,202.0,45521,0
21.63,24.26,61.8,2424,43.31,229.3,15302,1
21.69,22.4,50.6,1541,15.91,184.1,37876,0
21.24,25.03,46.6,2035,16.28,231.0,25494,0
19.84,24.47,42.0,2218,12.8,237.4,47007,0
21.69,23.26,32.0,1980,17.96,202.5,43122,0
21.15,25.19,43.3,2143,17.54,174.4,30786,0
21.48,22.7,46.9,2042,12.16,172.0,47194,0
20.45,25.25,75.8,2393,19.33,189.0,32793,0
22.88,25.84,50.5,1487,12.53,224.7,44442,0
22.56,24.0,36.5,2085,17.15,155.2,23961,0
18.39,24.39,30.3,2028,15.36,185.5,42884,0
23.45,24.92,51.6,2798,14.05,186.5,15127,0
33.29,38.33,29.6,2306,16.38,244.0,5717,1
22.64,22.71,45.1,1897,11.81,182.7,25650,0
22.9,22.58,46.5,2133,27.99,203.4,3313,1
23.1,21.89,29.6,2341,22.1,229.0,44290,0
20.21,24.02,43.3,1349,9.98,187.9,30768,0
32.86,34.28,45.9,2168,14.88,187.2,8246,1
20.95,24.56,55.4,1952,18.05,204.6,48718,0
21.51,23.47,31.7,1815,11.87,217.5,4870,0
23.17,25.83,51.2,2494,15.4,187.8,24330,0
19.47,22.37,46.7,1998,15.04,201.4,38018,0
24.12,25.33,44.7,2428,17.67,201.8,29038,0
21.06,25.34,36.8,1906,13.57,218.4,27706,0
21.23,24.5,45.5,1899,16.88,166.5,44500,0
25.67,21.17,45.6,1902,16.1,199.8,49330,0
19.63,24.44,44.3,2041,17.76,201.4,35036,0
19.29,24.06,39.9,1928,15.47,259.4,29754,0
22.57,19.52,40.6,2336,35.87,239.8,20055,1
20.46,24.17,33.6,2303,14.53,217.0,46897,0
20.56,24.15,38.6,1694,17.24,191.5,636,0
21.7,25.79,37.9,2025,12.71,99.0,27107,1
22.46,20.77,40.4,1859,16.35,101.1,1379,1
21.64,22.21,46.9,1816,14.49,192.6,1400,0
22.84,22.88,47.1,1822,15.8,205.6,5811,0
19.93,21.69,61.4,443,15.66,235.1,47957,1
24.05,23.91,50.8,1989,16.83,179.4,25577,0
19.28,24.44,49.1,1947,19.85,197.1,48772,0
22.2,25.47,43.7,1986,13.7,201.2,12695,0
24.64,26.46,43.4,270,13.96,194.0,23497,1
21.21,22.24,31.7,1915,15.08,181.7,10616,0
23.47,27.76,39.0,1900,18.0,198.3,16726,0
20.41,24.39,54.8,2359,22.17,195.4,4840,0
19.95,22.44,37.5,2352,14.2,187.9,8773,0
19.24,23.1,45.0,2028,16.71,212.2,21376,0
21.22,24.0,52.2,2045,10.63,237.4,18136,0
24.44,22.11,47.4,1909,13.49,220.7,39825,0
22.48,25.33,44.9,2012,15.07,198.7,10122,0
23.05,25.27,49.2,1900,16.95,202.2,40750,0
26.49,23.75,39.3,2334,7.54,205.7,20712,0
22.34,24.86,40.1,2134,17.69,208.7,42401,0
21.58,25.36,54.1,2057,38.59,181.8,8406,1
22.35,21.87,47.6,2388,17.51,214.9,26175,0
23.47,22.43,52.1,2061,18.95,242.3,24079,0
22.03,23.94,43.7,219,18.89,200.2,10058,1
22.49,24.3,42.0,2101,18.16,223.8,34908,0
21.58,21.22,51.1,1644,11.73,208.9,47641,0
21.87,24.8,51.0,2063,17.51,214.9,29987,0
43.81,35.97,34.6,2024,17.57,206.1,7642,1
21.29,22.39,52.3,1938,18.18,198.1,42419,0
22.46,24.46,41.7,2016,16.08,169.9,14555,0
21.76,23.27,47.6,1644,16.25,189.9,3890,0
22.3,23.51,53.9,1865,18.02,212.1,32268,0
20.66,24.62,36.2,1758,12.84,64.6,16604,1
22.29,23.67,44.3,2332,10.93,250.4,44804,0
21.96,22.67,38.0,2027,14.4,142.5,34437,0
23.39,26.03,48.0,1992,10.98,186.0,11324,0
21.56,24.24,40.4,2191,8.84,212.9,131,0
23.56,22.78,48.3,1565,11.1,196.9,18818,0
24.13,22.58,46.6,1794,15.8,202.2,41942,0
22.59,24.77,44.2,1473,16.94,211.4,38039,0
22.21,25.31,56.7,194,13.1,204.0,39588,1
22.4,23.78,53.0,1854,19.69,183.3,40526,0
23.28,23.58,41.1,298,10.63,206.4,2945,1
21.85,22.31,48.4,2163,15.65,218.8,25702,0
40.32,31.02,52.1,1952,10.96,218.0,23080,1
23.64,23.56,59.6,2341,16.56,205.9,27503,0
22.2,23.51,54.3,2042,11.22,190.4,49218,0
21.4,21.87,58.2,1953,14.92,238.2,18101,0
23.96,22.41,50.7,1661,17.15,212.0,1908,0
20.6,24.62,30.7,2100,13.83,195.9,27865,0
21.13,23.28,39.0,2070,12.1,215.6,28590,0
20.29,23.89,60.2,2189,14.4,170.1,39034,0
21.21,22.57,36.1,2218,16.15,170.1,2125,0
23.69,26.79,42.9,1838,16.94,231.0,48218,0
22.8,23.22,55.6,1603,16.04,111.5,5181,1
22.3,25.46,55.9,1886,19.03,191.4,14742,0
22.72,21.96,44.0,2356,16.37,203.8,10747,0
23.95,26.48,39.9,2027,13.55,197.4,32093,0
21.37,23.08,54.4,2136,10.78,175.6,14223,0
22.71,26.04,49.6,2322,18.93,223.2,4412,0
22.77,27.5,44.5,1691,14.39,164.7,22833,0
21.73,23.39,60.1,1600,14.21,203.7,19082,0
20.8,22.87,54.7,1458,15.3,195.2,22976,0
19.85,23.66,43.3,1637,17.01,227.8,44622,0
19.94,23.72,50.6,2492,12.52,181.0,26586,0
32.77,28.92,45.0,2061,14.1,188.7,21159,1
23.04,21.86,42.7,1618,16.66,198.5,15839,0
22.67,22.57,52.9,1820,13.86,154.9,13447,0
24.52,23.28,57.6,2478,38.76,189.6,35533,1
21.52,24.35,50.4,561,13.71,202.1,35869,1
23.32,25.3,42.4,1378,8.43,183.4,16782,0
20.59,21.44,51.5,1719,19.58,205.1,12437,0
23.35,24.7,55.3,1977,16.03,188.3,14206,0
22.13,24.42,48.2,1734,11.82,201.6,19393,0
23.78,25.74,43.6,1911,15.76,205.5,581,0
22.09,21.04,31.6,1567,8.4,83.8,112,1
18.36,23.7,50.1,1440,14.36,198.6,22732,0
23.31,24.09,61.0,2120,14.16,226.7,23809,0
23.19,24.38,52.0,1949,14.74,249.5,33483,0
19.49,24.35,52.6,1931,33.88,237.1,4510,1
20.53,26.83,36.0,1738,15.51,173.6,20305,0
22.97,21.96,45.8,1785,21.11,176.7,18574,0
22.82,22.46,42.4,2187,8.19,236.2,38900,0
24.58,23.07,54.5,2503,18.35,198.5,39552,0
23.94,25.2,58.0,1522,13.49,212.0,1533,0
22.0,22.12,50.1,1545,18.14,220.8,24238,0
19.6,23.0,52.5,1866,10.48,193.6,17944,0
38.15,37.1,58.6,2227,15.4,208.3,7262,1
21.85,23.54,42.4,2117,14.2,184.3,11665,0
22.07,25.8,46.0,2019,14.28,192.5,48405,0
24.29,22.63,57.8,323,16.02,230.0,14050,1
20.61,24.85,50.1,1827,16.56,210.9,4328,0
23.39,25.1,40.9,2124,11.39,203.3,43330,0
25.17,24.41,46.2,2358,12.16,162.1,25074,0
21.03,23.86,39.8,2176,18.29,204.3,1319,0
21.12,24.74,43.1,1757,16.91,189.4,42159,0
23.29,22.76,50.3,2175,14.33,184.2,21840,0
39.49,33.76,38.8,1742,15.8,177.4,29944,1
21.63,21.34,46.5,2005,16.79,201.4,1563,0
22.2,24.51,40.1,1690,14.53,228.9,23525,0
20.07,24.26,53.1,2476,15.94,211.7,8156,0
23.14,23.4,32.1,1675,14.64,183.8,48069,0
21.11,25.15,44.1,2309,8.91,197.4,39906,0
22.09,22.34,57.8,2237,19.09,199.6,42549,0
21.6,24.18,56.9,2011,13.39,169.8,45565,0
23.28,24.89,32.7,1490,16.22,197.5,36519,0
21.28,25.34,21.4,2136,19.73,208.3,5535,0
20.61,25.68,26.5,2086,9.67,197.1,49769,0
21.93,23.65,50.4,2352,16.89,165.8,44443,0
23.64,21.52,57.5,1873,13.37,182.6,31484,0
21.73,23.5,48.5,1633,11.2,188.5,2724,0
24.73,24.9,47.1,1849,14.32,218.8,11461,0
22.99,26.2,37.8,2368,15.11,202.5,41118,0
21.57,22.59,40.5,2241,14.81,111.1,16820,1
21.91,28.92,42.0,1876,14.77,157.5,21945,0
22.74,26.91,36.2,1838,7.25,209.1,34120,0
23.84,23.77,46.3,2162,13.33,208.9,41010,0
25.26,25.5,29.8,1826,13.63,193.9,3346,0
39.76,32.2,43.6,2385,15.74,218.5,38140,1
23.35,27.46,32.3,2428,12.65,171.4,3105,0
23.19,23.79,48.9,2549,11.09,209.8,27091,0
23.78,24.77,31.4,2113,15.15,226.9,20578,0
20.06,26.0,47.5,1850,8.42,191.9,34174,0
23.48,25.12,56.7,2533,16.44,235.0,31669,0
21.93,21.53,26.8,1707,19.81,223.7,45786,0
23.77,24.72,45.4,2208,15.67,162.1,40689,0
24.31,22.41,19.5,1829,43.21,222.1,19990,1
22.61,21.85,54.0,2043,14.05,185.1,34543,0
20.17,25.09,42.6,1718,14.99,219.0,41453,0
20.76,26.13,54.2,1385,9.43,207.0,8197,0
20.13,23.69,50.9,2052,27.23,198.6,17684,1
23.91,20.81,39.1,2336,30.52,216.1,8896,1
37.83,25.62,38.6,1272,15.11,199.5,19641,1
19.24,23.6,46.0,1748,14.61,221.8,37762,0
21.2,22.84,44.1,1725,13.09,193.6,20277,0
19.6,24.26,37.6,1769,15.21,173.4,3727,0
22.31,23.55,41.0,2140,11.81,254.6,43762,0
24.25,23.78,35.8,1984,13.35,205.5,1769,0
26.65,24.91,42.9,2598,12.57,209.6,30128,0
23.04,25.13,43.9,2147,16.26,185.1,24071,0
20.91,22.5,44.2,1676,20.98,191.7,23710,0
20.44,22.5,31.3,2047,9.83,186.3,28729,0
20.19,27.68,37.0,1981,13.83,183.1,37136,0
23.53,23.45,47.3,2186,19.27,234.3,12294,0
22.26,24.13,42.8,2216,19.17,182.0,5802,0
21.53,23.74,56.1,2107,15.5,214.9,46493,0
21.4,24.02,42.6,2072,18.91,198.8,11797,0
20.61,25.46,44.2,1719,12.44,197.5,29474,0
20.1,24.59,49.4,2389,10.64,206.6,36202,0
21.68,23.78,42.3,2439,15.24,200.1,49897,0
22.48,22.62,50.8,2435,20.86,212.4,13928,0
20.56,25.75,40.5,1830,11.17,175.3,13508,0
21.13,26.61,41.4,2210,13.84,227.9,7475,0
23.39,24.63,42.6,1705,12.71,208.6,5659,0
21.13,24.93,40.6,2409,6.14,216.1,21399,0
22.7,24.33,43.7,2020,16.11,211.1,7091,0
18.5,22.44,46.4,2410,12.99,194.5,3432,0
19.28,27.23,46.9,1442,12.1,197.3,38524,0
21.27,21.89,30.9,1930,20.61,185.4,7704,0
23.62,22.66,30.7,1960,35.02,201.2,41247,1
21.59,23.61,40.1,2134,17.49,190.8,2346,0
23.71,25.37,56.4,1865,13.84,220.5,952,0
23.02,25.53,33.7,2276,15.0,195.2,37659,0
23.66,23.56,42.0,1531,12.72,80.6,6304,1
25.54,21.48,43.3,1922,11.38,189.1,11495,0
23.26,24.06,46.2,1811,14.39,189.6,11448,0
21.5,24.76,41.8,2110,17.79,204.1,11290,0
22.28,25.52,38.6,2016,18.44,192.2,23502,0
22.61,24.36,41.1,1972,13.55,182.2,34173,0
22.33,25.06,40.7,1835,16.06,193.0,3451,0
23.41,26.26,37.6,1912,14.34,210.1,804,0
22.39,23.13,38.7,2026,18.41,180.1,3791,0
23.23,25.97,43.9,2196,12.27,192.8,16769,0
21.71,22.63,28.6,1879,14.68,193.4,16424,0
23.05,22.73,46.5,1900,14.83,237.4,1540,0
21.17,25.35,46.7,2097,15.56,219.8,2369,0
22.13,24.96,50.7,1758,11.66,179.8,22983,0
21.83,23.61,45.5,2167,16.45,167.5,45330,0
23.14,24.67,43.5,2166,16.18,190.4,30738,0
22.51,23.07,28.7,2544,20.83,89.9,38705,1
21.94,25.88,58.4,2142,18.02,91.3,5978,1
23.57,23.31,48.1,1762,12.15,241.3,27347,0
23.13,23.14,44.1,2108,17.05,195.5,49557,0
20.76,22.79,47.1,2069,9.77,190.9,26875,0
21.71,23.46,58.1,1661,15.82,207.6,35970,0
22.51,25.0,40.9,1651,19.73,191.0,48236,0
25.09,23.7,35.9,1992,17.59,193.7,27135,0
23.9,22.37,37.6,2206,14.06,188.7,47479,0
21.39,24.89,44.0,1676,13.9,199.8,1206,0
20.58,25.3,42.6,1952,14.18,221.3,49635,0
24.06,25.02,40.8,1621,13.19,168.8,2776,0
22.17,23.04,55.8,1908,14.19,244.5,27710,0
20.39,25.59,44.5,2258,17.07,203.8,47495,0
20.91,25.96,48.1,2310,8.94,187.5,16244,0
23.4,20.88,42.4,1508,16.35,182.7,31205,0
23.25,21.9,49.4,2394,14.18,219.1,34636,0
21.8,22.94,40.6,2090,13.78,181.5,1678,0
20.6,22.68,47.9,1965,15.69,222.0,22914,0
20.99,21.19,51.1,2118,22.36,190.9,10309,0
21.39,24.4,42.8,1892,13.59,182.7,1371,0
19.97,24.14,44.4,1826,16.85,209.6,26007,0
38.97,35.95,58.1,1599,16.12,153.4,10060,1
36.07,29.99,60.8,2423,18.73,198.9,40738,1
21.74,26.51,48.5,2595,18.48,229.5,34997,0
20.22,24.45,59.2,2234,17.8,221.9,4782,0
22.84,24.79,45.8,1658,15.84,37.1,8895,1
21.5,24.54,43.1,1818,16.0,190.2,49654,0
23.28,25.34,46.7,1984,16.11,200.8,28950,0
22.58,25.39,55.1,2163,16.27,226.3,25422,0
21.96,26.01,45.8,1570,12.38,188.6,31264,0
20.49,24.15,41.3,2163,16.45,207.7,12476,0
22.47,23.96,49.7,2052,14.86,169.1,37271,0
20.21,23.6,39.9,1894,16.11,214.5,15064,0
20.49,24.04,54.8,1854,17.81,203.2,9195,0
21.63,24.37,38.7,2396,16.75,204.9,37806,0
19.47,21.79,39.0,1624,38.06,193.7,37783,1
25.93,22.39,37.7,1845,14.46,183.8,30186,0
21.64,27.34,50.5,1449,12.93,200.4,13365,0
18.92,21.83,58.7,2289,20.34,194.4,28904,0
24.03,23.05,39.4,1749,17.62,216.5,3557,0
22.84,23.3,54.8,1751,15.54,199.2,5661,0
22.76,24.96,42.9,356,13.56,220.1,39749,1
22.42,24.24,55.6,2306,14.29,235.0,19371,0
19.95,22.12,38.0,2158,14.95,217.8,44758,0
23.07,23.87,55.8,2221,12.74,82.8,41688,1
21.15,24.58,53.6,1478,11.25,204.1,37960,0
20.47,24.32,49.1,2772,17.54,228.8,38414,0
21.33,24.16,55.3,2290,19.9,196.4,45572,0
21.48,23.21,42.3,2192,12.79,197.7,40694,0
22.7,22.43,45.0,1939,13.39,178.1,32818,0
24.43,24.17,31.5,1730,19.99,201.7,33614,0
23.52,25.05,37.7,2427,16.92,193.7,43806,0
20.72,23.02,46.1,2233,21.13,106.8,23874,1
22.22,23.68,44.5,2178,14.35,185.1,45894,0
22.86,22.25,65.3,1565,11.95,118.3,43219,1
19.08,23.78,68.7,1959,12.38,225.3,12490,0
17.94,25.14,24.4,2407,12.79,195.1,42488,0
31.32,28.63,52.1,1874,14.18,215.4,6237,1
21.73,26.17,42.8,2357,11.24,195.7,35215,0
21.52,23.6,57.2,1695,17.53,237.2,22252,0
21.9,23.18,39.9,2169,19.78,224.2,29444,0
22.88,24.7,37.9,1654,13.3,206.3,41340,0
20.88,23.27,60.5,2160,15.43,186.1,6664,0
21.58,23.6,43.9,1995,17.25,169.3,45886,0
20.2,27.85,41.9,2456,14.6,213.8,26272,0
20.45,24.39,50.7,1866,16.21,186.5,14294,0
22.07,25.68,48.9,2225,11.26,31.5,17076,1
21.89,26.29,37.6,388,20.69,213.8,14527,1
22.85,22.57,32.0,1622,14.73,191.5,35448,0
23.74,22.52,33.3,2074,12.27,198.9,42938,0
21.6,26.1,51.7,575,18.09,220.8,2027,1
22.35,22.74,51.3,2074,19.18,219.4,48835,0
20.94,24.19,38.8,1297,39.52,206.4,40893,1
20.91,23.26,40.3,577,15.59,189.2,22669,1
21.36,19.76,45.8,1918,32.2,191.4,9552,1
19.94,25.42,24.6,1488,9.86,209.5,33214,0
19.77,22.85,39.5,1925,14.79,193.2,25901,0
20.76,22.03,57.0,2134,45.64,167.0,35829,1
20.66,24.62,40.5,1905,15.93,214.3,36962,0
20.57,22.13,36.1,2236,20.89,211.8,12582,0
21.41,24.52,36.1,1790,15.49,177.7,49177,0
21.94,24.69,37.7,1994,13.21,202.1,33994,0
21.84,22.3,43.0,2425,39.42,171.4,4069,1
23.04,25.11,59.9,1415,42.77,178.7,3017,1
21.5,24.29,44.8,1691,8.12,191.4,24206,0
21.28,23.97,52.7,1623,13.89,195.1,6689,0
42.06,31.55,44.1,2287,13.45,194.8,2850,1
24.84,21.93,50.2,1861,14.46,220.0,3780,0
23.51,25.22,39.7,1619,14.09,183.6,49245,0
22.3,24.67,46.7,2094,12.51,184.1,39335,0
21.02,24.53,52.4,1790,14.32,165.6,5498,0
22.12,24.25,43.8,1767,9.41,181.4,5628,0
21.36,23.43,51.9,1879,14.95,242.2,35589,0
21.06,20.37,54.3,2413,18.04,212.4,21601,0
20.67,24.11,57.4,2516,13.48,216.8,21871,0
22.91,26.47,47.3,2475,12.43,155.0,29172,0
24.89,22.44,38.1,2342,16.81,227.5,1845,0
21.84,27.16,41.9,1849,14.71,173.9,34775,0
19.92,26.98,46.6,2179,17.44,205.6,33006,0
23.37,22.32,44.1,2331,20.44,218.6,13033,0
22.98,22.24,28.4,1959,14.02,211.9,11455,0
21.16,24.55,43.6,1923,17.69,244.0,45172,0
20.28,23.91,52.3,1811,16.82,222.0,31759,0
21.25,23.76,55.6,2333,12.84,220.1,48992,0
22.15,21.95,49.2,2050,13.53,151.0,18647,1
21.71,22.5,47.6,2541,15.83,206.9,23771,0
22.22,24.08,49.4,1658,8.45,225.9,39840,0
22.44,20.19,47.5,2815,16.37,211.5,46102,0
22.26,21.39,43.1,1628,16.9,175.7,32870,0
21.33,24.24,46.6,1482,14.05,216.8,34766,0
21.11,23.55,43.6,1611,17.98,203.2,3943,0
21.52,24.66,50.1,1842,17.74,214.9,18597,0
22.39,26.23,42.9,1607,20.48,101.3,18552,1
21.93,26.77,54.5,1577,21.95,194.7,14916,0
23.01,24.5,32.6,1915,14.45,187.7,44934,0
24.37,26.32,41.6,2526,18.17,188.8,45091,0
22.65,26.38,44.1,1949,12.66,170.7,21299,0
23.41,24.24,45.6,2496,13.37,192.8,21026,0
23.77,22.78,41.4,2158,18.12,175.2,4197,0
19.51,19.77,37.6,2106,10.92,205.4,48850,0
20.51,23.55,40.0,1867,13.41,191.4,29231,0
20.55,25.08,48.5,2030,15.63,179.1,37977,0
24.25,25.83,39.1,288,15.23,209.4,36390,1
23.0,24.81,37.7,1834,19.22,127.2,33973,1
20.23,26.29,46.8,2068,14.64,198.8,44203,0
20.23,24.11,48.1,2023,17.7,219.1,6203,0
19.02,24.53,39.3,2089,14.07,186.3,9301,0
19.41,23.5,48.2,2064,16.89,222.8,23322,0
25.09,25.79,45.8,2239,19.39,162.0,10117,0
22.63,23.81,47.3,1955,14.12,189.6,43538,0
24.1,23.05,36.2,1706,10.38,223.4,24216,0
20.55,23.33,43.7,1922,15.03,172.0,42459,0
22.43,24.91,42.5,2058,11.37,168.4,39637,0
21.38,25.86,45.7,1584,12.92,201.6,13231,0
21.8,22.57,45.1,1984,14.97,122.0,27990,1
20.48,22.04,52.1,1471,15.09,203.2,26281,0
17.36,23.94,36.6,1872,14.82,239.3,33553,0
22.37,24.54,43.5,2171,12.25,172.9,32441,0
20.14,20.8,56.8,2602,11.74,177.0,30444,0
23.6,24.33,40.6,2313,38.41,244.8,16068,1
21.69,22.52,44.9,1867,19.92,173.0,992,0
20.35,23.31,39.9,1779,16.78,254.3,32931,0
21.12,22.85,50.7,2179,16.43,183.2,33511,0
23.4,23.92,38.8,1705,21.37,163.0,30823,0
22.61,25.13,29.9,1559,16.17,271.0,6369,0
19.01,25.08,51.8,1853,20.46,170.1,32646,0
23.62,22.06,51.5,2270,11.55,215.6,24240,0
22.04,25.18,46.5,2015,13.05,227.4,46527,0
26.07,27.36,51.9,1650,21.59,159.3,10597,0
20.85,25.82,49.9,1819,14.87,217.2,1542,0
23.56,21.86,52.0,2118,17.84,195.5,6742,0
21.94,25.95,46.7,2130,17.61,240.1,11521,0
20.27,22.98,38.9,567,18.93,181.1,27877,1
21.64,22.66,49.9,1571,14.07,45.2,48623,1
21.41,23.8,54.9,1669,15.98,227.4,32204,0
22.21,24.87,37.2,2122,17.14,245.8,4606,0
19.54,24.69,31.9,338,13.21,234.1,6134,1
23.54,22.35,52.6,1955,13.62,171.2,27220,0
21.13,23.72,50.3,2066,14.56,224.7,33172,0
23.51,26.12,43.4,2227,14.62,258.6,30109,0
20.69,20.72,42.6,1572,10.02,184.4,34972,0
25.09,24.31,46.6,2110,15.54,166.0,46859,0
20.73,24.6,44.8,284,17.69,230.0,23447,1
21.96,23.55,52.0,1958,13.86,131.2,44964,0
28.83,35.31,39.9,1707,13.14,181.9,46251,1
21.21,24.23,35.1,2136,8.71,165.5,34057,0
22.28,24.91,31.5,1759,11.44,198.1,32177,0
23.04,25.38,62.6,2355,14.42,205.4,45779,0
23.45,25.72,43.8,2333,20.16,235.0,36305,0
20.58,23.58,57.5,1963,20.15,184.7,15353,0
22.09,24.22,43.9,2314,11.09,182.8,23209,0
21.12,23.04,38.3,2096,10.36,190.4,33431,0
34.09,31.43,35.6,1562,18.24,207.5,3625,1
35.14,39.06,37.2,2054,13.01,236.8,22623,1
21.74,24.03,42.5,2136,17.19,224.1,10235,0
24.44,26.79,43.9,2011,15.23,194.7,33258,0
23.28,23.83,54.1,2522,15.0,199.3,42646,0
22.44,23.66,37.3,990,18.67,211.6,11726,0
21.42,21.31,33.5,2140,15.03,160.8,9052,0
20.44,21.79,36.3,302,18.09,222.2,29524,1
22.74,25.05,43.0,2121,12.0,206.5,32473,0
19.71,25.35,35.6,1619,18.61,233.4,47934,0
22.57,27.05,55.2,2078,15.38,164.4,27327,0
24.43,21.97,40.3,1744,11.76,201.9,1117,0
20.32,22.65,46.9,2081,17.35,200.7,37236,0
23.95,23.96,49.6,1749,16.75,182.9,37226,0
20.77,23.19,31.6,2273,17.01,217.7,5737,0
22.22,21.94,52.9,2264,17.8,201.7,45787,0
21.51,26.11,54.7,2031,18.49,207.0,34979,0
20.56,23.4,48.0,2361,12.35,183.4,36293,0
22.65,24.11,61.3,2140,17.87,113.0,39280,1
20.2,28.28,60.6,1798,14.8,215.1,17776,0
23.12,22.24,45.6,2420,15.16,214.7,42277,0
21.69,24.61,57.3,1988,11.21,246.3,46181,0
20.34,24.41,50.7,1862,13.25,235.6,38805,0
21.42,25.25,57.8,2554,12.4,195.7,48894,0
22.22,25.9,55.1,1762,12.91,205.4,46126,0
